time,value
2026-04-20T10:00:00,0.1804
2026-04-20T10:00:10,0.0551
2026-04-20T10:00:20,0.0583
2026-04-20T10:00:30,0.0288
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0288
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.1475
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.1936
2026-04-20T10:01:40,0.2147
2026-04-20T10:01:50,0.1396
2026-04-20T10:02:00,0.0677
2026-04-20T10:02:10,0.0872
2026-04-20T10:02:20,0.1828
2026-04-20T10:02:30,0.0267
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0617
2026-04-20T10:03:00,0.0635
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.4417
2026-04-20T10:03:40,0.4632
2026-04-20T10:03:50,1.407
2026-04-20T10:04:00,1.9481
2026-04-20T10:04:10,1.571
2026-04-20T10:04:20,0.9386
2026-04-20T10:04:30,2.6564
2026-04-20T10:04:40,1.9768
2026-04-20T10:04:50,3.1344
2026-04-20T10:05:00,4.0244
2026-04-20T10:05:10,4.7148
2026-04-20T10:05:20,5.2289
2026-04-20T10:05:30,5.4735
2026-04-20T10:05:40,6.2751
2026-04-20T10:05:50,3.7658
2026-04-20T10:06:00,4.5025
2026-04-20T10:06:10,6.0883
2026-04-20T10:06:20,8.3653
2026-04-20T10:06:30,7.0399
2026-04-20T10:06:40,6.5573
2026-04-20T10:06:50,8.7683
2026-04-20T10:07:00,6.8865
2026-04-20T10:07:10,4.8796
2026-04-20T10:07:20,7.1916
2026-04-20T10:07:30,8.11
2026-04-20T10:07:40,5.0303
2026-04-20T10:07:50,12.2173
2026-04-20T10:08:00,8.1129
2026-04-20T10:08:10,10.0749
2026-04-20T10:08:20,11.3539
2026-04-20T10:08:30,9.7066
2026-04-20T10:08:40,9.1084
2026-04-20T10:08:50,10.4682
2026-04-20T10:09:00,7.759
2026-04-20T10:09:10,8.0933
2026-04-20T10:09:20,12.7115
2026-04-20T10:09:30,9.9157
2026-04-20T10:09:40,14.2681
2026-04-20T10:09:50,15.2532
