time,value
2026-04-20T10:00:00,7.4026
2026-04-20T10:00:10,6.3511
2026-04-20T10:00:20,5.7623
2026-04-20T10:00:30,4.2173
2026-04-20T10:00:40,6.3285
2026-04-20T10:00:50,4.2926
2026-04-20T10:01:00,4.3696
2026-04-20T10:01:10,7.6621
2026-04-20T10:01:20,2.0098
2026-04-20T10:01:30,7.3864
2026-04-20T10:01:40,9.0756
2026-04-20T10:01:50,5.1057
2026-04-20T10:02:00,7.1597
2026-04-20T10:02:10,4.5045
2026-04-20T10:02:20,1.2981
2026-04-20T10:02:30,5.1378
2026-04-20T10:02:40,5.8374
2026-04-20T10:02:50,6.5369
2026-04-20T10:03:00,6.3437
2026-04-20T10:03:10,3.3145
2026-04-20T10:03:20,6.4728
2026-04-20T10:03:30,4.7749
2026-04-20T10:03:40,35.6252
2026-04-20T10:03:50,52.6464
2026-04-20T10:04:00,68.4367
2026-04-20T10:04:10,76.719
2026-04-20T10:04:20,63.8059
2026-04-20T10:04:30,96.618
2026-04-20T10:04:40,132.2312
2026-04-20T10:04:50,115.7998
2026-04-20T10:05:00,117.4513
2026-04-20T10:05:10,147.2754
2026-04-20T10:05:20,130.8124
2026-04-20T10:05:30,219.0449
2026-04-20T10:05:40,193.2036
2026-04-20T10:05:50,238.6352
2026-04-20T10:06:00,262.634
2026-04-20T10:06:10,250.4467
2026-04-20T10:06:20,267.3664
2026-04-20T10:06:30,225.3528
2026-04-20T10:06:40,229.1786
2026-04-20T10:06:50,133.3748
2026-04-20T10:07:00,245.1765
2026-04-20T10:07:10,304.5567
2026-04-20T10:07:20,316.5417
2026-04-20T10:07:30,426.9907
2026-04-20T10:07:40,362.6149
2026-04-20T10:07:50,344.2392
2026-04-20T10:08:00,453.8301
2026-04-20T10:08:10,325.4078
2026-04-20T10:08:20,450.0098
2026-04-20T10:08:30,241.3694
2026-04-20T10:08:40,387.9587
2026-04-20T10:08:50,379.1615
2026-04-20T10:09:00,358.8393
2026-04-20T10:09:10,382.0355
2026-04-20T10:09:20,537.6764
2026-04-20T10:09:30,457.1955
2026-04-20T10:09:40,508.2521
2026-04-20T10:09:50,433.7263
