time,value
2026-04-20T10:00:00,6.1045
2026-04-20T10:00:10,6.3369
2026-04-20T10:00:20,2.8851
2026-04-20T10:00:30,5.0477
2026-04-20T10:00:40,3.5835
2026-04-20T10:00:50,2.6536
2026-04-20T10:01:00,5.8244
2026-04-20T10:01:10,0.1581
2026-04-20T10:01:20,6.2639
2026-04-20T10:01:30,4.308
2026-04-20T10:01:40,4.6932
2026-04-20T10:01:50,1.1218
2026-04-20T10:02:00,5.6781
2026-04-20T10:02:10,5.4803
2026-04-20T10:02:20,1.7535
2026-04-20T10:02:30,5.8171
2026-04-20T10:02:40,4.0427
2026-04-20T10:02:50,5.9313
2026-04-20T10:03:00,4.6494
2026-04-20T10:03:10,4.6977
2026-04-20T10:03:20,6.6534
2026-04-20T10:03:30,3.4304
2026-04-20T10:03:40,6.4878
2026-04-20T10:03:50,5.184
2026-04-20T10:04:00,2.459
2026-04-20T10:04:10,6.8874
2026-04-20T10:04:20,21.5453
2026-04-20T10:04:30,26.1965
2026-04-20T10:04:40,41.4456
2026-04-20T10:04:50,33.7911
2026-04-20T10:05:00,33.3481
2026-04-20T10:05:10,33.5282
2026-04-20T10:05:20,42.1322
2026-04-20T10:05:30,48.5835
2026-04-20T10:05:40,42.4637
2026-04-20T10:05:50,36.6774
2026-04-20T10:06:00,50.1796
2026-04-20T10:06:10,36.7864
2026-04-20T10:06:20,47.758
2026-04-20T10:06:30,49.7257
2026-04-20T10:06:40,59.4861
2026-04-20T10:06:50,47.9667
2026-04-20T10:07:00,33.5548
2026-04-20T10:07:10,53.0885
2026-04-20T10:07:20,61.2671
2026-04-20T10:07:30,83.3061
2026-04-20T10:07:40,70.6465
2026-04-20T10:07:50,55.1458
2026-04-20T10:08:00,45.6451
2026-04-20T10:08:10,58.1266
2026-04-20T10:08:20,100.2602
2026-04-20T10:08:30,47.6468
2026-04-20T10:08:40,49.241
2026-04-20T10:08:50,73.4796
2026-04-20T10:09:00,86.0723
2026-04-20T10:09:10,83.9138
2026-04-20T10:09:20,91.3933
2026-04-20T10:09:30,54.114
2026-04-20T10:09:40,81.4807
2026-04-20T10:09:50,104.0834
