time,value
2026-04-20T10:00:00,0.6611
2026-04-20T10:00:10,1.3902
2026-04-20T10:00:20,0.7326
2026-04-20T10:00:30,0.3573
2026-04-20T10:00:40,0.8324
2026-04-20T10:00:50,1.5658
2026-04-20T10:01:00,1.1936
2026-04-20T10:01:10,1.0716
2026-04-20T10:01:20,0.5687
2026-04-20T10:01:30,1.3941
2026-04-20T10:01:40,1.0498
2026-04-20T10:01:50,0.727
2026-04-20T10:02:00,0.7028
2026-04-20T10:02:10,1.5696
2026-04-20T10:02:20,0.9944
2026-04-20T10:02:30,2.0866
2026-04-20T10:02:40,0.3641
2026-04-20T10:02:50,1.0531
2026-04-20T10:03:00,0.6317
2026-04-20T10:03:10,0.4154
2026-04-20T10:03:20,1.4768
2026-04-20T10:03:30,0.977
2026-04-20T10:03:40,0.5313
2026-04-20T10:03:50,0.2184
2026-04-20T10:04:00,12.231
2026-04-20T10:04:10,9.9634
2026-04-20T10:04:20,11.1864
2026-04-20T10:04:30,28.372
2026-04-20T10:04:40,30.0655
2026-04-20T10:04:50,14.0051
2026-04-20T10:05:00,29.2161
2026-04-20T10:05:10,30.9625
2026-04-20T10:05:20,34.8798
2026-04-20T10:05:30,3.3452
2026-04-20T10:05:40,55.2222
2026-04-20T10:05:50,59.3946
2026-04-20T10:06:00,73.9056
2026-04-20T10:06:10,54.9232
2026-04-20T10:06:20,79.402
2026-04-20T10:06:30,80.2049
2026-04-20T10:06:40,69.6411
2026-04-20T10:06:50,71.8173
2026-04-20T10:07:00,28.6174
2026-04-20T10:07:10,43.0169
2026-04-20T10:07:20,55.0282
2026-04-20T10:07:30,63.6464
2026-04-20T10:07:40,87.403
2026-04-20T10:07:50,82.503
2026-04-20T10:08:00,70.2777
2026-04-20T10:08:10,42.8749
2026-04-20T10:08:20,81.628
2026-04-20T10:08:30,86.4518
2026-04-20T10:08:40,67.2296
2026-04-20T10:08:50,80.5026
2026-04-20T10:09:00,92.532
2026-04-20T10:09:10,95.767
2026-04-20T10:09:20,151.028
2026-04-20T10:09:30,60.2917
2026-04-20T10:09:40,100.7312
2026-04-20T10:09:50,56.1678
