time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0152
2026-04-20T10:00:30,0.0809
2026-04-20T10:00:40,0.0072
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0345
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0635
2026-04-20T10:02:00,0.0539
2026-04-20T10:02:10,0.0919
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0295
2026-04-20T10:03:00,0.0524
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0745
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,0.0
2026-04-20T10:04:10,0.0875
2026-04-20T10:04:20,6.0479
2026-04-20T10:04:30,8.0409
2026-04-20T10:04:40,5.6268
2026-04-20T10:04:50,8.1457
2026-04-20T10:05:00,8.7621
2026-04-20T10:05:10,10.5128
2026-04-20T10:05:20,9.17
2026-04-20T10:05:30,19.7534
2026-04-20T10:05:40,16.7494
2026-04-20T10:05:50,12.7631
2026-04-20T10:06:00,14.0009
2026-04-20T10:06:10,17.4958
2026-04-20T10:06:20,13.8481
2026-04-20T10:06:30,7.2968
2026-04-20T10:06:40,21.2817
2026-04-20T10:06:50,16.3306
2026-04-20T10:07:00,15.5437
2026-04-20T10:07:10,33.2346
2026-04-20T10:07:20,27.0344
2026-04-20T10:07:30,19.527
2026-04-20T10:07:40,30.6167
2026-04-20T10:07:50,12.7507
2026-04-20T10:08:00,32.7362
2026-04-20T10:08:10,23.7384
2026-04-20T10:08:20,35.0201
2026-04-20T10:08:30,35.6469
2026-04-20T10:08:40,34.7648
2026-04-20T10:08:50,35.5523
2026-04-20T10:09:00,30.6241
2026-04-20T10:09:10,21.34
2026-04-20T10:09:20,29.0715
2026-04-20T10:09:30,27.1679
2026-04-20T10:09:40,28.8835
2026-04-20T10:09:50,40.6956
