time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.1659
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0605
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0213
2026-04-20T10:01:00,0.037
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.1426
2026-04-20T10:01:30,0.0097
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0431
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0978
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.1696
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.1269
2026-04-20T10:03:10,0.0214
2026-04-20T10:03:20,0.0531
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,8.837
2026-04-20T10:04:10,9.4196
2026-04-20T10:04:20,2.9909
2026-04-20T10:04:30,19.9813
2026-04-20T10:04:40,13.211
2026-04-20T10:04:50,18.989
2026-04-20T10:05:00,11.742
2026-04-20T10:05:10,10.9181
2026-04-20T10:05:20,26.6781
2026-04-20T10:05:30,25.6896
2026-04-20T10:05:40,21.9027
2026-04-20T10:05:50,32.5394
2026-04-20T10:06:00,28.2398
2026-04-20T10:06:10,31.559
2026-04-20T10:06:20,31.4906
2026-04-20T10:06:30,37.4069
2026-04-20T10:06:40,60.5401
2026-04-20T10:06:50,42.9709
2026-04-20T10:07:00,50.1401
2026-04-20T10:07:10,37.5636
2026-04-20T10:07:20,27.5315
2026-04-20T10:07:30,44.5644
2026-04-20T10:07:40,50.691
2026-04-20T10:07:50,40.1371
2026-04-20T10:08:00,50.3004
2026-04-20T10:08:10,16.4791
2026-04-20T10:08:20,46.4597
2026-04-20T10:08:30,62.3419
2026-04-20T10:08:40,62.6083
2026-04-20T10:08:50,65.7321
2026-04-20T10:09:00,48.7749
2026-04-20T10:09:10,81.2445
2026-04-20T10:09:20,76.3769
2026-04-20T10:09:30,89.3919
2026-04-20T10:09:40,57.0644
2026-04-20T10:09:50,61.4414
