time,value
2026-04-20T10:00:00,0.9945
2026-04-20T10:00:10,1.0255
2026-04-20T10:00:20,1.1343
2026-04-20T10:00:30,0.2541
2026-04-20T10:00:40,0.7422
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,1.286
2026-04-20T10:01:10,0.1149
2026-04-20T10:01:20,1.3493
2026-04-20T10:01:30,1.6459
2026-04-20T10:01:40,0.9339
2026-04-20T10:01:50,0.5187
2026-04-20T10:02:00,0.7717
2026-04-20T10:02:10,0.9074
2026-04-20T10:02:20,0.9626
2026-04-20T10:02:30,1.7107
2026-04-20T10:02:40,1.2543
2026-04-20T10:02:50,1.6979
2026-04-20T10:03:00,0.7387
2026-04-20T10:03:10,1.5155
2026-04-20T10:03:20,1.1351
2026-04-20T10:03:30,1.1363
2026-04-20T10:03:40,8.1267
2026-04-20T10:03:50,10.0534
2026-04-20T10:04:00,10.6879
2026-04-20T10:04:10,12.618
2026-04-20T10:04:20,18.7854
2026-04-20T10:04:30,26.105
2026-04-20T10:04:40,9.977
2026-04-20T10:04:50,28.3189
2026-04-20T10:05:00,42.6053
2026-04-20T10:05:10,21.335
2026-04-20T10:05:20,16.061
2026-04-20T10:05:30,55.0652
2026-04-20T10:05:40,33.2962
2026-04-20T10:05:50,43.978
2026-04-20T10:06:00,43.9151
2026-04-20T10:06:10,37.9574
2026-04-20T10:06:20,34.9991
2026-04-20T10:06:30,8.8113
2026-04-20T10:06:40,52.5959
2026-04-20T10:06:50,62.4073
2026-04-20T10:07:00,63.7806
2026-04-20T10:07:10,67.5401
2026-04-20T10:07:20,62.1037
2026-04-20T10:07:30,87.0257
2026-04-20T10:07:40,64.8372
2026-04-20T10:07:50,64.3854
2026-04-20T10:08:00,95.9031
2026-04-20T10:08:10,73.8669
2026-04-20T10:08:20,97.3948
2026-04-20T10:08:30,53.5526
2026-04-20T10:08:40,94.7157
2026-04-20T10:08:50,105.4301
2026-04-20T10:09:00,81.1372
2026-04-20T10:09:10,131.9038
2026-04-20T10:09:20,111.3238
2026-04-20T10:09:30,106.3854
2026-04-20T10:09:40,49.9008
2026-04-20T10:09:50,95.6425
