time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0545
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0613
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.1181
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0351
2026-04-20T10:02:10,0.1069
2026-04-20T10:02:20,0.0495
2026-04-20T10:02:30,0.0982
2026-04-20T10:02:40,0.1168
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.1212
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.6166
2026-04-20T10:03:40,1.2953
2026-04-20T10:03:50,2.1635
2026-04-20T10:04:00,1.9042
2026-04-20T10:04:10,2.7542
2026-04-20T10:04:20,2.8555
2026-04-20T10:04:30,4.2558
2026-04-20T10:04:40,5.9961
2026-04-20T10:04:50,7.1298
2026-04-20T10:05:00,6.9969
2026-04-20T10:05:10,8.0226
2026-04-20T10:05:20,8.9304
2026-04-20T10:05:30,11.8414
2026-04-20T10:05:40,12.5347
2026-04-20T10:05:50,9.7662
2026-04-20T10:06:00,8.4747
2026-04-20T10:06:10,18.9138
2026-04-20T10:06:20,10.5775
2026-04-20T10:06:30,13.2645
2026-04-20T10:06:40,12.7739
2026-04-20T10:06:50,14.3689
2026-04-20T10:07:00,11.9751
2026-04-20T10:07:10,16.1893
2026-04-20T10:07:20,7.7695
2026-04-20T10:07:30,15.7832
2026-04-20T10:07:40,26.3987
2026-04-20T10:07:50,15.1054
2026-04-20T10:08:00,19.4483
2026-04-20T10:08:10,30.9082
2026-04-20T10:08:20,18.2762
2026-04-20T10:08:30,15.8546
2026-04-20T10:08:40,15.8572
2026-04-20T10:08:50,21.5855
2026-04-20T10:09:00,16.5239
2026-04-20T10:09:10,19.2786
2026-04-20T10:09:20,25.6693
2026-04-20T10:09:30,36.3684
2026-04-20T10:09:40,24.633
2026-04-20T10:09:50,21.9745
