time,value
2026-04-20T10:00:00,0.0675
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.1136
2026-04-20T10:00:40,0.0927
2026-04-20T10:00:50,0.0184
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.1004
2026-04-20T10:01:40,0.2436
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0358
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.1908
2026-04-20T10:03:10,0.0583
2026-04-20T10:03:20,0.1532
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0438
2026-04-20T10:03:50,0.0743
2026-04-20T10:04:00,0.0
2026-04-20T10:04:10,0.1021
2026-04-20T10:04:20,0.3612
2026-04-20T10:04:30,0.4509
2026-04-20T10:04:40,0.6961
2026-04-20T10:04:50,0.5904
2026-04-20T10:05:00,0.6994
2026-04-20T10:05:10,0.8295
2026-04-20T10:05:20,0.8258
2026-04-20T10:05:30,0.7532
2026-04-20T10:05:40,1.171
2026-04-20T10:05:50,0.9032
2026-04-20T10:06:00,1.08
2026-04-20T10:06:10,1.1348
2026-04-20T10:06:20,1.0273
2026-04-20T10:06:30,1.1823
2026-04-20T10:06:40,1.2782
2026-04-20T10:06:50,1.3745
2026-04-20T10:07:00,1.4046
2026-04-20T10:07:10,1.2804
2026-04-20T10:07:20,1.4157
2026-04-20T10:07:30,1.5571
2026-04-20T10:07:40,1.5992
2026-04-20T10:07:50,1.4318
2026-04-20T10:08:00,1.7088
2026-04-20T10:08:10,1.6225
2026-04-20T10:08:20,1.716
2026-04-20T10:08:30,1.728
2026-04-20T10:08:40,1.8734
2026-04-20T10:08:50,1.9452
2026-04-20T10:09:00,2.2248
2026-04-20T10:09:10,2.1669
2026-04-20T10:09:20,2.0809
2026-04-20T10:09:30,2.1584
2026-04-20T10:09:40,2.2511
2026-04-20T10:09:50,2.0204
