time,value
2026-04-20T10:00:00,0.0844
2026-04-20T10:00:10,0.3159
2026-04-20T10:00:20,0.0906
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0996
2026-04-20T10:01:00,0.1727
2026-04-20T10:01:10,0.1864
2026-04-20T10:01:20,0.0848
2026-04-20T10:01:30,0.2064
2026-04-20T10:01:40,0.0368
2026-04-20T10:01:50,0.1991
2026-04-20T10:02:00,0.2547
2026-04-20T10:02:10,0.0269
2026-04-20T10:02:20,0.0787
2026-04-20T10:02:30,0.0408
2026-04-20T10:02:40,0.0191
2026-04-20T10:02:50,0.1116
2026-04-20T10:03:00,0.0189
2026-04-20T10:03:10,0.1373
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.2162
2026-04-20T10:03:40,0.0961
2026-04-20T10:03:50,0.2644
2026-04-20T10:04:00,0.0058
2026-04-20T10:04:10,0.0801
2026-04-20T10:04:20,0.9975
2026-04-20T10:04:30,0.844
2026-04-20T10:04:40,1.452
2026-04-20T10:04:50,1.6691
2026-04-20T10:05:00,1.3764
2026-04-20T10:05:10,1.6254
2026-04-20T10:05:20,1.8341
2026-04-20T10:05:30,1.6659
2026-04-20T10:05:40,1.2675
2026-04-20T10:05:50,1.4963
2026-04-20T10:06:00,3.4141
2026-04-20T10:06:10,2.8337
2026-04-20T10:06:20,1.4318
2026-04-20T10:06:30,2.1287
2026-04-20T10:06:40,2.9141
2026-04-20T10:06:50,2.2989
2026-04-20T10:07:00,2.7598
2026-04-20T10:07:10,3.0167
2026-04-20T10:07:20,2.3151
2026-04-20T10:07:30,2.121
2026-04-20T10:07:40,3.2413
2026-04-20T10:07:50,2.5902
2026-04-20T10:08:00,2.5265
2026-04-20T10:08:10,3.1843
2026-04-20T10:08:20,4.2941
2026-04-20T10:08:30,3.1133
2026-04-20T10:08:40,4.0774
2026-04-20T10:08:50,3.6451
2026-04-20T10:09:00,4.3136
2026-04-20T10:09:10,5.2364
2026-04-20T10:09:20,4.7536
2026-04-20T10:09:30,5.5657
2026-04-20T10:09:40,2.3723
2026-04-20T10:09:50,5.65
