time,value
2026-04-20T10:00:00,4873.1577
2026-04-20T10:00:10,5824.899
2026-04-20T10:00:20,5383.7712
2026-04-20T10:00:30,6769.2141
2026-04-20T10:00:40,4801.472
2026-04-20T10:00:50,4188.7462
2026-04-20T10:01:00,7006.8389
2026-04-20T10:01:10,4822.2281
2026-04-20T10:01:20,5670.066
2026-04-20T10:01:30,5839.8653
2026-04-20T10:01:40,6465.5342
2026-04-20T10:01:50,5381.2203
2026-04-20T10:02:00,5107.1487
2026-04-20T10:02:10,7065.2634
2026-04-20T10:02:20,4967.7836
2026-04-20T10:02:30,4871.7788
2026-04-20T10:02:40,6165.7007
2026-04-20T10:02:50,4973.476
2026-04-20T10:03:00,5390.9244
2026-04-20T10:03:10,5216.8088
2026-04-20T10:03:20,5273.0783
2026-04-20T10:03:30,3975.8524
2026-04-20T10:03:40,4344.8881
2026-04-20T10:03:50,4735.4102
2026-04-20T10:04:00,19695.112
2026-04-20T10:04:10,26454.5335
2026-04-20T10:04:20,26775.8881
2026-04-20T10:04:30,28105.7441
2026-04-20T10:04:40,20894.189
2026-04-20T10:04:50,24198.5014
2026-04-20T10:05:00,54473.1264
2026-04-20T10:05:10,30547.2047
2026-04-20T10:05:20,48249.9751
2026-04-20T10:05:30,46199.7522
2026-04-20T10:05:40,46159.0887
2026-04-20T10:05:50,38507.5623
2026-04-20T10:06:00,51039.9582
2026-04-20T10:06:10,57574.1498
2026-04-20T10:06:20,56881.4101
2026-04-20T10:06:30,76502.6788
2026-04-20T10:06:40,58819.9136
2026-04-20T10:06:50,82223.7235
2026-04-20T10:07:00,83255.4755
2026-04-20T10:07:10,45392.8762
2026-04-20T10:07:20,75626.783
2026-04-20T10:07:30,56012.9302
2026-04-20T10:07:40,78695.8023
2026-04-20T10:07:50,71789.6022
2026-04-20T10:08:00,61817.651
2026-04-20T10:08:10,89645.3189
2026-04-20T10:08:20,107131.9169
2026-04-20T10:08:30,117784.5547
2026-04-20T10:08:40,83840.2757
2026-04-20T10:08:50,99951.4431
2026-04-20T10:09:00,122165.0651
2026-04-20T10:09:10,108802.2575
2026-04-20T10:09:20,103954.3419
2026-04-20T10:09:30,108934.0323
2026-04-20T10:09:40,108512.6686
2026-04-20T10:09:50,97294.4883
