time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.1562
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.1674
2026-04-20T10:00:50,0.2327
2026-04-20T10:01:00,0.0879
2026-04-20T10:01:10,0.0436
2026-04-20T10:01:20,0.075
2026-04-20T10:01:30,0.0445
2026-04-20T10:01:40,0.0371
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0053
2026-04-20T10:02:20,0.1181
2026-04-20T10:02:30,0.0642
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0259
2026-04-20T10:03:40,2.3037
2026-04-20T10:03:50,2.118
2026-04-20T10:04:00,3.5503
2026-04-20T10:04:10,3.739
2026-04-20T10:04:20,6.75
2026-04-20T10:04:30,9.1022
2026-04-20T10:04:40,7.2294
2026-04-20T10:04:50,6.8939
2026-04-20T10:05:00,9.4997
2026-04-20T10:05:10,14.5875
2026-04-20T10:05:20,10.5725
2026-04-20T10:05:30,10.63
2026-04-20T10:05:40,14.9061
2026-04-20T10:05:50,11.1989
2026-04-20T10:06:00,13.7917
2026-04-20T10:06:10,5.2866
2026-04-20T10:06:20,14.263
2026-04-20T10:06:30,20.6869
2026-04-20T10:06:40,23.0524
2026-04-20T10:06:50,26.2477
2026-04-20T10:07:00,12.5363
2026-04-20T10:07:10,33.435
2026-04-20T10:07:20,29.4791
2026-04-20T10:07:30,24.8636
2026-04-20T10:07:40,28.2667
2026-04-20T10:07:50,29.1262
2026-04-20T10:08:00,35.2636
2026-04-20T10:08:10,39.2889
2026-04-20T10:08:20,38.1638
2026-04-20T10:08:30,23.6918
2026-04-20T10:08:40,30.3925
2026-04-20T10:08:50,34.7824
2026-04-20T10:09:00,28.7651
2026-04-20T10:09:10,43.7369
2026-04-20T10:09:20,21.1386
2026-04-20T10:09:30,31.4401
2026-04-20T10:09:40,29.2166
2026-04-20T10:09:50,23.2751
