time,value
2026-04-20T10:00:00,0.1766
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0286
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.1992
2026-04-20T10:00:50,0.1124
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0798
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0694
2026-04-20T10:02:00,0.0828
2026-04-20T10:02:10,0.0145
2026-04-20T10:02:20,0.023
2026-04-20T10:02:30,0.0711
2026-04-20T10:02:40,0.0171
2026-04-20T10:02:50,0.0971
2026-04-20T10:03:00,0.0578
2026-04-20T10:03:10,0.007
2026-04-20T10:03:20,0.1068
2026-04-20T10:03:30,1.2876
2026-04-20T10:03:40,6.065
2026-04-20T10:03:50,7.3354
2026-04-20T10:04:00,9.5867
2026-04-20T10:04:10,12.4268
2026-04-20T10:04:20,5.7946
2026-04-20T10:04:30,16.8628
2026-04-20T10:04:40,14.8806
2026-04-20T10:04:50,32.8554
2026-04-20T10:05:00,23.4652
2026-04-20T10:05:10,15.9877
2026-04-20T10:05:20,21.0677
2026-04-20T10:05:30,19.4787
2026-04-20T10:05:40,20.5387
2026-04-20T10:05:50,33.852
2026-04-20T10:06:00,10.3274
2026-04-20T10:06:10,37.1891
2026-04-20T10:06:20,29.7148
2026-04-20T10:06:30,33.7715
2026-04-20T10:06:40,34.5902
2026-04-20T10:06:50,38.3776
2026-04-20T10:07:00,42.8322
2026-04-20T10:07:10,46.6218
2026-04-20T10:07:20,47.7036
2026-04-20T10:07:30,48.9662
2026-04-20T10:07:40,67.8193
2026-04-20T10:07:50,64.1586
2026-04-20T10:08:00,36.9225
2026-04-20T10:08:10,65.5911
2026-04-20T10:08:20,55.2146
2026-04-20T10:08:30,36.6041
2026-04-20T10:08:40,59.9268
2026-04-20T10:08:50,53.1697
2026-04-20T10:09:00,40.623
2026-04-20T10:09:10,57.0767
2026-04-20T10:09:20,86.6199
2026-04-20T10:09:30,81.5161
2026-04-20T10:09:40,68.1351
2026-04-20T10:09:50,94.8571
