time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.1142
2026-04-20T10:00:30,0.1164
2026-04-20T10:00:40,0.0826
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0407
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0628
2026-04-20T10:01:40,0.1072
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.1116
2026-04-20T10:02:20,0.1685
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0768
2026-04-20T10:02:50,0.0069
2026-04-20T10:03:00,0.1093
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0586
2026-04-20T10:03:40,0.1248
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,0.0
2026-04-20T10:04:10,0.0962
2026-04-20T10:04:20,3.822
2026-04-20T10:04:30,4.0982
2026-04-20T10:04:40,3.5292
2026-04-20T10:04:50,6.2169
2026-04-20T10:05:00,4.7298
2026-04-20T10:05:10,7.4045
2026-04-20T10:05:20,5.4132
2026-04-20T10:05:30,6.708
2026-04-20T10:05:40,3.9201
2026-04-20T10:05:50,9.53
2026-04-20T10:06:00,4.7284
2026-04-20T10:06:10,6.2718
2026-04-20T10:06:20,10.3011
2026-04-20T10:06:30,8.8449
2026-04-20T10:06:40,8.7293
2026-04-20T10:06:50,8.532
2026-04-20T10:07:00,7.0597
2026-04-20T10:07:10,9.2628
2026-04-20T10:07:20,19.2012
2026-04-20T10:07:30,10.0677
2026-04-20T10:07:40,13.2648
2026-04-20T10:07:50,16.5676
2026-04-20T10:08:00,14.0515
2026-04-20T10:08:10,14.8331
2026-04-20T10:08:20,18.5904
2026-04-20T10:08:30,15.0853
2026-04-20T10:08:40,14.5752
2026-04-20T10:08:50,21.3801
2026-04-20T10:09:00,18.5837
2026-04-20T10:09:10,14.4266
2026-04-20T10:09:20,12.3961
2026-04-20T10:09:30,15.4736
2026-04-20T10:09:40,19.7277
2026-04-20T10:09:50,11.7253
