time,value
2026-04-20T10:00:00,0.0912
2026-04-20T10:00:10,0.0403
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0541
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.081
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0041
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0545
2026-04-20T10:02:40,0.0553
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0369
2026-04-20T10:03:10,0.1227
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0776
2026-04-20T10:04:00,3.8768
2026-04-20T10:04:10,5.7751
2026-04-20T10:04:20,7.1009
2026-04-20T10:04:30,5.9907
2026-04-20T10:04:40,8.1689
2026-04-20T10:04:50,9.6129
2026-04-20T10:05:00,10.4262
2026-04-20T10:05:10,9.8097
2026-04-20T10:05:20,13.1967
2026-04-20T10:05:30,10.3102
2026-04-20T10:05:40,9.9997
2026-04-20T10:05:50,19.5371
2026-04-20T10:06:00,8.9557
2026-04-20T10:06:10,15.9652
2026-04-20T10:06:20,12.9132
2026-04-20T10:06:30,15.4564
2026-04-20T10:06:40,12.2862
2026-04-20T10:06:50,18.7074
2026-04-20T10:07:00,18.0989
2026-04-20T10:07:10,24.3388
2026-04-20T10:07:20,22.6278
2026-04-20T10:07:30,30.8016
2026-04-20T10:07:40,25.6181
2026-04-20T10:07:50,17.6835
2026-04-20T10:08:00,23.1682
2026-04-20T10:08:10,29.6978
2026-04-20T10:08:20,26.8101
2026-04-20T10:08:30,14.8064
2026-04-20T10:08:40,30.5105
2026-04-20T10:08:50,27.0492
2026-04-20T10:09:00,23.3864
2026-04-20T10:09:10,24.2308
2026-04-20T10:09:20,26.2104
2026-04-20T10:09:30,24.8054
2026-04-20T10:09:40,43.5266
2026-04-20T10:09:50,15.6555
