time,value
2026-04-20T10:00:00,0.0279
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0116
2026-04-20T10:00:30,0.0145
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.155
2026-04-20T10:01:00,0.1239
2026-04-20T10:01:10,0.177
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0756
2026-04-20T10:01:40,0.1527
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.2477
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0656
2026-04-20T10:02:30,0.0599
2026-04-20T10:02:40,0.1541
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0407
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,2.2517
2026-04-20T10:03:40,3.8126
2026-04-20T10:03:50,4.5639
2026-04-20T10:04:00,8.6293
2026-04-20T10:04:10,6.8228
2026-04-20T10:04:20,9.3791
2026-04-20T10:04:30,8.2823
2026-04-20T10:04:40,13.3474
2026-04-20T10:04:50,12.1449
2026-04-20T10:05:00,16.1428
2026-04-20T10:05:10,15.6089
2026-04-20T10:05:20,21.0694
2026-04-20T10:05:30,24.0052
2026-04-20T10:05:40,18.8563
2026-04-20T10:05:50,27.0276
2026-04-20T10:06:00,16.7699
2026-04-20T10:06:10,35.0657
2026-04-20T10:06:20,18.9196
2026-04-20T10:06:30,18.8742
2026-04-20T10:06:40,30.5455
2026-04-20T10:06:50,43.7222
2026-04-20T10:07:00,40.3991
2026-04-20T10:07:10,30.1875
2026-04-20T10:07:20,42.4088
2026-04-20T10:07:30,33.429
2026-04-20T10:07:40,47.5253
2026-04-20T10:07:50,44.0189
2026-04-20T10:08:00,42.9816
2026-04-20T10:08:10,63.7639
2026-04-20T10:08:20,41.0823
2026-04-20T10:08:30,26.2031
2026-04-20T10:08:40,42.3605
2026-04-20T10:08:50,27.0133
2026-04-20T10:09:00,22.7378
2026-04-20T10:09:10,65.0893
2026-04-20T10:09:20,45.2168
2026-04-20T10:09:30,68.7636
2026-04-20T10:09:40,45.2805
2026-04-20T10:09:50,58.5914
