time,value
2026-04-20T10:00:00,0.1126
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.146
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0012
2026-04-20T10:01:20,0.0698
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.1186
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0106
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.1506
2026-04-20T10:02:50,0.0968
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0059
2026-04-20T10:03:30,0.1386
2026-04-20T10:03:40,3.9543
2026-04-20T10:03:50,7.4422
2026-04-20T10:04:00,9.7985
2026-04-20T10:04:10,18.9767
2026-04-20T10:04:20,14.5968
2026-04-20T10:04:30,13.3211
2026-04-20T10:04:40,15.6768
2026-04-20T10:04:50,24.4373
2026-04-20T10:05:00,13.2638
2026-04-20T10:05:10,30.1232
2026-04-20T10:05:20,38.2941
2026-04-20T10:05:30,32.6746
2026-04-20T10:05:40,27.215
2026-04-20T10:05:50,45.6926
2026-04-20T10:06:00,56.8614
2026-04-20T10:06:10,29.2739
2026-04-20T10:06:20,53.3362
2026-04-20T10:06:30,47.363
2026-04-20T10:06:40,26.6483
2026-04-20T10:06:50,59.7988
2026-04-20T10:07:00,84.5575
2026-04-20T10:07:10,58.8614
2026-04-20T10:07:20,68.111
2026-04-20T10:07:30,40.8443
2026-04-20T10:07:40,65.2107
2026-04-20T10:07:50,72.3795
2026-04-20T10:08:00,76.3578
2026-04-20T10:08:10,82.1615
2026-04-20T10:08:20,82.3399
2026-04-20T10:08:30,97.3761
2026-04-20T10:08:40,73.4914
2026-04-20T10:08:50,89.6007
2026-04-20T10:09:00,102.5679
2026-04-20T10:09:10,56.9704
2026-04-20T10:09:20,83.0949
2026-04-20T10:09:30,95.4918
2026-04-20T10:09:40,68.3182
2026-04-20T10:09:50,108.336
