time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.1381
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0106
2026-04-20T10:01:10,0.0988
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0226
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0224
2026-04-20T10:02:50,0.0705
2026-04-20T10:03:00,0.0753
2026-04-20T10:03:10,0.0902
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.2712
2026-04-20T10:04:00,0.0
2026-04-20T10:04:10,0.2202
2026-04-20T10:04:20,0.2889
2026-04-20T10:04:30,0.4289
2026-04-20T10:04:40,0.4
2026-04-20T10:04:50,0.4202
2026-04-20T10:05:00,0.541
2026-04-20T10:05:10,0.6919
2026-04-20T10:05:20,1.1007
2026-04-20T10:05:30,0.8834
2026-04-20T10:05:40,1.0328
2026-04-20T10:05:50,0.9851
2026-04-20T10:06:00,1.2963
2026-04-20T10:06:10,1.1019
2026-04-20T10:06:20,1.1471
2026-04-20T10:06:30,1.2304
2026-04-20T10:06:40,1.4637
2026-04-20T10:06:50,1.3492
2026-04-20T10:07:00,1.2726
2026-04-20T10:07:10,1.4382
2026-04-20T10:07:20,1.5029
2026-04-20T10:07:30,1.706
2026-04-20T10:07:40,1.5224
2026-04-20T10:07:50,1.5466
2026-04-20T10:08:00,1.7264
2026-04-20T10:08:10,1.6488
2026-04-20T10:08:20,1.8286
2026-04-20T10:08:30,1.8542
2026-04-20T10:08:40,1.8185
2026-04-20T10:08:50,1.9634
2026-04-20T10:09:00,1.7529
2026-04-20T10:09:10,1.9475
2026-04-20T10:09:20,2.0976
2026-04-20T10:09:30,2.1716
2026-04-20T10:09:40,2.0611
2026-04-20T10:09:50,2.5277
