time,value
2026-04-20T10:00:00,0.0332
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.01
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0336
2026-04-20T10:01:00,0.0004
2026-04-20T10:01:10,0.0112
2026-04-20T10:01:20,0.2237
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.2019
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0379
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0883
2026-04-20T10:03:10,0.0518
2026-04-20T10:03:20,0.1648
2026-04-20T10:03:30,0.0779
2026-04-20T10:03:40,0.4673
2026-04-20T10:03:50,0.6126
2026-04-20T10:04:00,0.7365
2026-04-20T10:04:10,0.8628
2026-04-20T10:04:20,0.5801
2026-04-20T10:04:30,1.7218
2026-04-20T10:04:40,1.1442
2026-04-20T10:04:50,1.589
2026-04-20T10:05:00,1.824
2026-04-20T10:05:10,2.4605
2026-04-20T10:05:20,2.3375
2026-04-20T10:05:30,2.9544
2026-04-20T10:05:40,4.2127
2026-04-20T10:05:50,3.7498
2026-04-20T10:06:00,3.3792
2026-04-20T10:06:10,3.1658
2026-04-20T10:06:20,2.1468
2026-04-20T10:06:30,2.2433
2026-04-20T10:06:40,3.6349
2026-04-20T10:06:50,4.2468
2026-04-20T10:07:00,5.3101
2026-04-20T10:07:10,5.233
2026-04-20T10:07:20,2.0883
2026-04-20T10:07:30,5.3822
2026-04-20T10:07:40,4.6699
2026-04-20T10:07:50,6.0659
2026-04-20T10:08:00,7.8629
2026-04-20T10:08:10,3.0386
2026-04-20T10:08:20,5.931
2026-04-20T10:08:30,4.7092
2026-04-20T10:08:40,4.7304
2026-04-20T10:08:50,6.0548
2026-04-20T10:09:00,3.2946
2026-04-20T10:09:10,6.0793
2026-04-20T10:09:20,7.2705
2026-04-20T10:09:30,7.7854
2026-04-20T10:09:40,6.9641
2026-04-20T10:09:50,8.9517
