time,value
2026-04-20T10:00:00,0.065
2026-04-20T10:00:10,0.1623
2026-04-20T10:00:20,0.0245
2026-04-20T10:00:30,0.1276
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0243
2026-04-20T10:01:10,0.0004
2026-04-20T10:01:20,0.1383
2026-04-20T10:01:30,0.0334
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0844
2026-04-20T10:02:00,0.0403
2026-04-20T10:02:10,0.1174
2026-04-20T10:02:20,0.0447
2026-04-20T10:02:30,0.1371
2026-04-20T10:02:40,0.1648
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0515
2026-04-20T10:03:20,0.0734
2026-04-20T10:03:30,0.0184
2026-04-20T10:03:40,0.0323
2026-04-20T10:03:50,0.1007
2026-04-20T10:04:00,0.0686
2026-04-20T10:04:10,0.0
2026-04-20T10:04:20,10.858
2026-04-20T10:04:30,10.1919
2026-04-20T10:04:40,14.1673
2026-04-20T10:04:50,9.14
2026-04-20T10:05:00,12.9075
2026-04-20T10:05:10,9.3158
2026-04-20T10:05:20,16.9493
2026-04-20T10:05:30,15.1646
2026-04-20T10:05:40,14.1157
2026-04-20T10:05:50,25.9905
2026-04-20T10:06:00,21.2437
2026-04-20T10:06:10,29.6845
2026-04-20T10:06:20,26.6605
2026-04-20T10:06:30,25.2893
2026-04-20T10:06:40,25.1466
2026-04-20T10:06:50,24.8683
2026-04-20T10:07:00,22.2843
2026-04-20T10:07:10,23.1206
2026-04-20T10:07:20,25.6959
2026-04-20T10:07:30,33.4492
2026-04-20T10:07:40,32.3827
2026-04-20T10:07:50,20.9067
2026-04-20T10:08:00,34.5977
2026-04-20T10:08:10,42.98
2026-04-20T10:08:20,28.7981
2026-04-20T10:08:30,45.3884
2026-04-20T10:08:40,41.8408
2026-04-20T10:08:50,27.8973
2026-04-20T10:09:00,38.2145
2026-04-20T10:09:10,49.5117
2026-04-20T10:09:20,42.7288
2026-04-20T10:09:30,9.7721
2026-04-20T10:09:40,50.8031
2026-04-20T10:09:50,26.8096
