time,value
2026-04-20T10:00:00,109.0156
2026-04-20T10:00:10,93.176
2026-04-20T10:00:20,91.1565
2026-04-20T10:00:30,69.0979
2026-04-20T10:00:40,85.8761
2026-04-20T10:00:50,67.8964
2026-04-20T10:01:00,46.3764
2026-04-20T10:01:10,71.5581
2026-04-20T10:01:20,98.9326
2026-04-20T10:01:30,106.3028
2026-04-20T10:01:40,118.3179
2026-04-20T10:01:50,100.4901
2026-04-20T10:02:00,88.8587
2026-04-20T10:02:10,125.4492
2026-04-20T10:02:20,124.9696
2026-04-20T10:02:30,98.8932
2026-04-20T10:02:40,64.5232
2026-04-20T10:02:50,125.8081
2026-04-20T10:03:00,96.5982
2026-04-20T10:03:10,129.4774
2026-04-20T10:03:20,93.1346
2026-04-20T10:03:30,124.9785
2026-04-20T10:03:40,99.1103
2026-04-20T10:03:50,82.8655
2026-04-20T10:04:00,731.3375
2026-04-20T10:04:10,914.3385
2026-04-20T10:04:20,918.6014
2026-04-20T10:04:30,1339.6524
2026-04-20T10:04:40,1188.3819
2026-04-20T10:04:50,1278.516
2026-04-20T10:05:00,1160.515
2026-04-20T10:05:10,1476.0285
2026-04-20T10:05:20,1532.3486
2026-04-20T10:05:30,1168.337
2026-04-20T10:05:40,2337.3802
2026-04-20T10:05:50,1699.2535
2026-04-20T10:06:00,2257.5256
2026-04-20T10:06:10,2871.0046
2026-04-20T10:06:20,2702.544
2026-04-20T10:06:30,1938.4949
2026-04-20T10:06:40,2770.8996
2026-04-20T10:06:50,2656.5369
2026-04-20T10:07:00,2247.6579
2026-04-20T10:07:10,2503.2723
2026-04-20T10:07:20,3639.5591
2026-04-20T10:07:30,3819.2823
2026-04-20T10:07:40,3767.4431
2026-04-20T10:07:50,3019.23
2026-04-20T10:08:00,2980.2801
2026-04-20T10:08:10,2761.0369
2026-04-20T10:08:20,3783.3595
2026-04-20T10:08:30,2512.4371
2026-04-20T10:08:40,3921.5205
2026-04-20T10:08:50,3590.4569
2026-04-20T10:09:00,3983.6859
2026-04-20T10:09:10,4690.2435
2026-04-20T10:09:20,4305.8055
2026-04-20T10:09:30,5784.244
2026-04-20T10:09:40,4308.2944
2026-04-20T10:09:50,4698.888
