time,value
2026-04-20T10:00:00,30.7828
2026-04-20T10:00:10,43.7178
2026-04-20T10:00:20,46.6523
2026-04-20T10:00:30,29.0924
2026-04-20T10:00:40,24.6586
2026-04-20T10:00:50,37.0032
2026-04-20T10:01:00,18.0743
2026-04-20T10:01:10,37.6535
2026-04-20T10:01:20,41.6749
2026-04-20T10:01:30,23.1898
2026-04-20T10:01:40,32.4205
2026-04-20T10:01:50,41.6859
2026-04-20T10:02:00,38.8973
2026-04-20T10:02:10,20.3154
2026-04-20T10:02:20,35.4399
2026-04-20T10:02:30,25.0471
2026-04-20T10:02:40,36.0971
2026-04-20T10:02:50,37.1796
2026-04-20T10:03:00,35.3168
2026-04-20T10:03:10,30.8213
2026-04-20T10:03:20,15.2191
2026-04-20T10:03:30,30.3487
2026-04-20T10:03:40,39.603
2026-04-20T10:03:50,31.3385
2026-04-20T10:04:00,24.5243
2026-04-20T10:04:10,25.2139
2026-04-20T10:04:20,131.3556
2026-04-20T10:04:30,149.2437
2026-04-20T10:04:40,168.6346
2026-04-20T10:04:50,196.9647
2026-04-20T10:05:00,230.4242
2026-04-20T10:05:10,270.3476
2026-04-20T10:05:20,352.9822
2026-04-20T10:05:30,379.0246
2026-04-20T10:05:40,335.267
2026-04-20T10:05:50,292.112
2026-04-20T10:06:00,256.2718
2026-04-20T10:06:10,396.2981
2026-04-20T10:06:20,461.856
2026-04-20T10:06:30,386.579
2026-04-20T10:06:40,388.4158
2026-04-20T10:06:50,202.7506
2026-04-20T10:07:00,447.2247
2026-04-20T10:07:10,360.0667
2026-04-20T10:07:20,433.5609
2026-04-20T10:07:30,444.8276
2026-04-20T10:07:40,647.1625
2026-04-20T10:07:50,517.7563
2026-04-20T10:08:00,427.6733
2026-04-20T10:08:10,501.3566
2026-04-20T10:08:20,613.4265
2026-04-20T10:08:30,642.9918
2026-04-20T10:08:40,798.7298
2026-04-20T10:08:50,691.2741
2026-04-20T10:09:00,764.2419
2026-04-20T10:09:10,627.4482
2026-04-20T10:09:20,667.5224
2026-04-20T10:09:30,757.0904
2026-04-20T10:09:40,585.2029
2026-04-20T10:09:50,779.5402
