time,value
2026-04-20T10:00:00,87.4409
2026-04-20T10:00:10,90.2447
2026-04-20T10:00:20,118.3734
2026-04-20T10:00:30,98.1003
2026-04-20T10:00:40,98.58
2026-04-20T10:00:50,94.2861
2026-04-20T10:01:00,130.7583
2026-04-20T10:01:10,101.5966
2026-04-20T10:01:20,89.9033
2026-04-20T10:01:30,93.0531
2026-04-20T10:01:40,93.2319
2026-04-20T10:01:50,78.9535
2026-04-20T10:02:00,96.5706
2026-04-20T10:02:10,66.9898
2026-04-20T10:02:20,80.1361
2026-04-20T10:02:30,84.3479
2026-04-20T10:02:40,68.279
2026-04-20T10:02:50,108.6469
2026-04-20T10:03:00,100.6951
2026-04-20T10:03:10,77.5287
2026-04-20T10:03:20,121.0867
2026-04-20T10:03:30,80.9004
2026-04-20T10:03:40,64.4168
2026-04-20T10:03:50,93.2153
2026-04-20T10:04:00,524.1216
2026-04-20T10:04:10,759.8822
2026-04-20T10:04:20,990.8146
2026-04-20T10:04:30,528.1892
2026-04-20T10:04:40,1299.2382
2026-04-20T10:04:50,1096.0482
2026-04-20T10:05:00,2085.6779
2026-04-20T10:05:10,1494.0259
2026-04-20T10:05:20,1343.0453
2026-04-20T10:05:30,1607.5755
2026-04-20T10:05:40,2207.1579
2026-04-20T10:05:50,1899.9269
2026-04-20T10:06:00,2736.8734
2026-04-20T10:06:10,2013.1645
2026-04-20T10:06:20,2677.6814
2026-04-20T10:06:30,1343.6411
2026-04-20T10:06:40,1972.975
2026-04-20T10:06:50,2647.8956
2026-04-20T10:07:00,3291.8852
2026-04-20T10:07:10,2587.47
2026-04-20T10:07:20,5089.5389
2026-04-20T10:07:30,3318.9114
2026-04-20T10:07:40,3250.9704
2026-04-20T10:07:50,3563.2324
2026-04-20T10:08:00,3810.5108
2026-04-20T10:08:10,2924.9808
2026-04-20T10:08:20,3604.4679
2026-04-20T10:08:30,3767.6204
2026-04-20T10:08:40,3225.4225
2026-04-20T10:08:50,2092.1626
2026-04-20T10:09:00,4064.3451
2026-04-20T10:09:10,3671.5263
2026-04-20T10:09:20,3523.0648
2026-04-20T10:09:30,4507.1896
2026-04-20T10:09:40,4736.9144
2026-04-20T10:09:50,4302.3074
