time,value
2026-04-20T10:00:00,0.6989
2026-04-20T10:00:10,0.3125
2026-04-20T10:00:20,0.9081
2026-04-20T10:00:30,0.3079
2026-04-20T10:00:40,0.9304
2026-04-20T10:00:50,1.5367
2026-04-20T10:01:00,1.1187
2026-04-20T10:01:10,0.3394
2026-04-20T10:01:20,0.2986
2026-04-20T10:01:30,0.452
2026-04-20T10:01:40,0.9927
2026-04-20T10:01:50,1.2015
2026-04-20T10:02:00,1.0194
2026-04-20T10:02:10,0.6381
2026-04-20T10:02:20,0.6786
2026-04-20T10:02:30,1.1183
2026-04-20T10:02:40,0.7445
2026-04-20T10:02:50,0.8143
2026-04-20T10:03:00,0.9475
2026-04-20T10:03:10,0.8033
2026-04-20T10:03:20,1.4042
2026-04-20T10:03:30,1.703
2026-04-20T10:03:40,1.229
2026-04-20T10:03:50,1.1287
2026-04-20T10:04:00,1.7332
2026-04-20T10:04:10,1.65
2026-04-20T10:04:20,33.129
2026-04-20T10:04:30,44.4974
2026-04-20T10:04:40,67.2989
2026-04-20T10:04:50,40.9583
2026-04-20T10:05:00,66.7898
2026-04-20T10:05:10,88.1488
2026-04-20T10:05:20,65.53
2026-04-20T10:05:30,87.9245
2026-04-20T10:05:40,76.8472
2026-04-20T10:05:50,74.0989
2026-04-20T10:06:00,122.247
2026-04-20T10:06:10,92.5869
2026-04-20T10:06:20,131.4285
2026-04-20T10:06:30,132.9476
2026-04-20T10:06:40,131.6357
2026-04-20T10:06:50,164.4018
2026-04-20T10:07:00,237.1235
2026-04-20T10:07:10,146.7707
2026-04-20T10:07:20,166.4104
2026-04-20T10:07:30,143.3972
2026-04-20T10:07:40,170.2294
2026-04-20T10:07:50,180.4291
2026-04-20T10:08:00,112.6611
2026-04-20T10:08:10,225.5146
2026-04-20T10:08:20,205.206
2026-04-20T10:08:30,158.652
2026-04-20T10:08:40,155.0689
2026-04-20T10:08:50,272.4888
2026-04-20T10:09:00,274.713
2026-04-20T10:09:10,186.0557
2026-04-20T10:09:20,149.7021
2026-04-20T10:09:30,153.8125
2026-04-20T10:09:40,128.2644
2026-04-20T10:09:50,290.1717
