time,value
2026-04-20T10:00:00,23.6521
2026-04-20T10:00:10,25.1445
2026-04-20T10:00:20,29.6405
2026-04-20T10:00:30,20.6073
2026-04-20T10:00:40,31.756
2026-04-20T10:00:50,16.1876
2026-04-20T10:01:00,25.1001
2026-04-20T10:01:10,22.1
2026-04-20T10:01:20,26.2593
2026-04-20T10:01:30,28.0585
2026-04-20T10:01:40,28.0989
2026-04-20T10:01:50,28.6407
2026-04-20T10:02:00,19.7597
2026-04-20T10:02:10,25.5265
2026-04-20T10:02:20,28.2001
2026-04-20T10:02:30,29.7589
2026-04-20T10:02:40,30.0041
2026-04-20T10:02:50,21.3285
2026-04-20T10:03:00,30.8838
2026-04-20T10:03:10,13.3201
2026-04-20T10:03:20,19.3501
2026-04-20T10:03:30,16.6528
2026-04-20T10:03:40,30.5999
2026-04-20T10:03:50,23.5814
2026-04-20T10:04:00,36.3217
2026-04-20T10:04:10,45.4242
2026-04-20T10:04:20,47.3214
2026-04-20T10:04:30,44.54
2026-04-20T10:04:40,51.7911
2026-04-20T10:04:50,61.7285
2026-04-20T10:05:00,60.4276
2026-04-20T10:05:10,66.5381
2026-04-20T10:05:20,65.4691
2026-04-20T10:05:30,64.6504
2026-04-20T10:05:40,87.1979
2026-04-20T10:05:50,59.8505
2026-04-20T10:06:00,81.0519
2026-04-20T10:06:10,109.5432
2026-04-20T10:06:20,108.7161
2026-04-20T10:06:30,82.769
2026-04-20T10:06:40,95.6194
2026-04-20T10:06:50,101.6134
2026-04-20T10:07:00,110.2201
2026-04-20T10:07:10,108.1548
2026-04-20T10:07:20,79.4774
2026-04-20T10:07:30,111.5408
2026-04-20T10:07:40,104.9358
2026-04-20T10:07:50,120.1745
2026-04-20T10:08:00,153.9569
2026-04-20T10:08:10,132.2081
2026-04-20T10:08:20,117.4431
2026-04-20T10:08:30,114.0068
2026-04-20T10:08:40,139.8719
2026-04-20T10:08:50,154.8663
2026-04-20T10:09:00,125.2427
2026-04-20T10:09:10,120.7414
2026-04-20T10:09:20,147.8744
2026-04-20T10:09:30,169.1327
2026-04-20T10:09:40,160.6224
2026-04-20T10:09:50,132.7689
