time,value
2026-04-20T10:00:00,15.0054
2026-04-20T10:00:10,10.8145
2026-04-20T10:00:20,13.8103
2026-04-20T10:00:30,6.1156
2026-04-20T10:00:40,16.5893
2026-04-20T10:00:50,15.8234
2026-04-20T10:01:00,15.9097
2026-04-20T10:01:10,12.2132
2026-04-20T10:01:20,15.1915
2026-04-20T10:01:30,17.3328
2026-04-20T10:01:40,13.2317
2026-04-20T10:01:50,14.9429
2026-04-20T10:02:00,19.801
2026-04-20T10:02:10,12.5362
2026-04-20T10:02:20,11.0625
2026-04-20T10:02:30,15.9043
2026-04-20T10:02:40,14.4527
2026-04-20T10:02:50,17.5913
2026-04-20T10:03:00,16.0486
2026-04-20T10:03:10,15.4878
2026-04-20T10:03:20,21.4102
2026-04-20T10:03:30,18.5908
2026-04-20T10:03:40,27.8213
2026-04-20T10:03:50,28.0899
2026-04-20T10:04:00,32.7434
2026-04-20T10:04:10,35.2538
2026-04-20T10:04:20,46.8163
2026-04-20T10:04:30,44.6472
2026-04-20T10:04:40,56.4146
2026-04-20T10:04:50,59.169
2026-04-20T10:05:00,65.6445
2026-04-20T10:05:10,78.6468
2026-04-20T10:05:20,87.6075
2026-04-20T10:05:30,77.3029
2026-04-20T10:05:40,77.6977
2026-04-20T10:05:50,81.5681
2026-04-20T10:06:00,89.4175
2026-04-20T10:06:10,79.9186
2026-04-20T10:06:20,100.1749
2026-04-20T10:06:30,101.32
2026-04-20T10:06:40,112.5174
2026-04-20T10:06:50,124.6278
2026-04-20T10:07:00,123.5926
2026-04-20T10:07:10,134.6356
2026-04-20T10:07:20,118.4431
2026-04-20T10:07:30,123.2573
2026-04-20T10:07:40,155.0437
2026-04-20T10:07:50,143.4787
2026-04-20T10:08:00,124.7679
2026-04-20T10:08:10,164.2647
2026-04-20T10:08:20,177.5351
2026-04-20T10:08:30,160.4854
2026-04-20T10:08:40,192.2952
2026-04-20T10:08:50,193.6763
2026-04-20T10:09:00,178.0458
2026-04-20T10:09:10,191.4696
2026-04-20T10:09:20,193.184
2026-04-20T10:09:30,178.3329
2026-04-20T10:09:40,199.7294
2026-04-20T10:09:50,159.5381
