time,value
2026-04-20T10:00:00,6.1872
2026-04-20T10:00:10,3.8339
2026-04-20T10:00:20,4.5685
2026-04-20T10:00:30,5.0785
2026-04-20T10:00:40,6.6427
2026-04-20T10:00:50,8.4277
2026-04-20T10:01:00,6.1323
2026-04-20T10:01:10,4.8076
2026-04-20T10:01:20,1.4987
2026-04-20T10:01:30,6.4516
2026-04-20T10:01:40,5.0451
2026-04-20T10:01:50,2.0949
2026-04-20T10:02:00,6.0663
2026-04-20T10:02:10,3.0452
2026-04-20T10:02:20,6.0809
2026-04-20T10:02:30,5.6216
2026-04-20T10:02:40,4.1352
2026-04-20T10:02:50,5.7342
2026-04-20T10:03:00,4.4168
2026-04-20T10:03:10,6.0605
2026-04-20T10:03:20,5.4032
2026-04-20T10:03:30,3.9742
2026-04-20T10:03:40,20.7537
2026-04-20T10:03:50,26.0802
2026-04-20T10:04:00,27.5919
2026-04-20T10:04:10,32.8856
2026-04-20T10:04:20,45.6753
2026-04-20T10:04:30,35.6419
2026-04-20T10:04:40,45.0281
2026-04-20T10:04:50,65.4961
2026-04-20T10:05:00,53.8778
2026-04-20T10:05:10,46.5582
2026-04-20T10:05:20,30.6614
2026-04-20T10:05:30,118.5731
2026-04-20T10:05:40,66.0611
2026-04-20T10:05:50,88.1698
2026-04-20T10:06:00,64.1356
2026-04-20T10:06:10,94.6913
2026-04-20T10:06:20,109.9187
2026-04-20T10:06:30,76.695
2026-04-20T10:06:40,74.2048
2026-04-20T10:06:50,126.329
2026-04-20T10:07:00,96.4588
2026-04-20T10:07:10,130.0053
2026-04-20T10:07:20,148.9868
2026-04-20T10:07:30,165.407
2026-04-20T10:07:40,146.7028
2026-04-20T10:07:50,125.7022
2026-04-20T10:08:00,141.4884
2026-04-20T10:08:10,143.2499
2026-04-20T10:08:20,161.7931
2026-04-20T10:08:30,153.5866
2026-04-20T10:08:40,117.0433
2026-04-20T10:08:50,147.9491
2026-04-20T10:09:00,135.3292
2026-04-20T10:09:10,124.6734
2026-04-20T10:09:20,167.2161
2026-04-20T10:09:30,243.9083
2026-04-20T10:09:40,128.3338
2026-04-20T10:09:50,196.8766
