time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0402
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.1081
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.1112
2026-04-20T10:02:00,0.0627
2026-04-20T10:02:10,0.0092
2026-04-20T10:02:20,0.0428
2026-04-20T10:02:30,0.0762
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0208
2026-04-20T10:03:10,0.0484
2026-04-20T10:03:20,0.0176
2026-04-20T10:03:30,0.0701
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,0.0157
2026-04-20T10:04:10,0.2068
2026-04-20T10:04:20,31.3617
2026-04-20T10:04:30,39.8945
2026-04-20T10:04:40,42.5982
2026-04-20T10:04:50,49.438
2026-04-20T10:05:00,38.9402
2026-04-20T10:05:10,68.5977
2026-04-20T10:05:20,68.1655
2026-04-20T10:05:30,101.3943
2026-04-20T10:05:40,54.9091
2026-04-20T10:05:50,69.1718
2026-04-20T10:06:00,89.1673
2026-04-20T10:06:10,89.3278
2026-04-20T10:06:20,75.4895
2026-04-20T10:06:30,107.5768
2026-04-20T10:06:40,57.0233
2026-04-20T10:06:50,113.3658
2026-04-20T10:07:00,76.2602
2026-04-20T10:07:10,129.1854
2026-04-20T10:07:20,134.6137
2026-04-20T10:07:30,101.0803
2026-04-20T10:07:40,145.9793
2026-04-20T10:07:50,160.1497
2026-04-20T10:08:00,123.2437
2026-04-20T10:08:10,100.7303
2026-04-20T10:08:20,103.0237
2026-04-20T10:08:30,112.7485
2026-04-20T10:08:40,198.7254
2026-04-20T10:08:50,150.9143
2026-04-20T10:09:00,160.477
2026-04-20T10:09:10,205.5346
2026-04-20T10:09:20,112.9408
2026-04-20T10:09:30,136.2672
2026-04-20T10:09:40,166.338
2026-04-20T10:09:50,183.7997
