time,value
2026-04-20T10:00:00,35.303
2026-04-20T10:00:10,40.8785
2026-04-20T10:00:20,48.9133
2026-04-20T10:00:30,64.9492
2026-04-20T10:00:40,37.6579
2026-04-20T10:00:50,61.6855
2026-04-20T10:01:00,46.4853
2026-04-20T10:01:10,48.6909
2026-04-20T10:01:20,51.1028
2026-04-20T10:01:30,46.5207
2026-04-20T10:01:40,56.678
2026-04-20T10:01:50,47.516
2026-04-20T10:02:00,54.5619
2026-04-20T10:02:10,71.2588
2026-04-20T10:02:20,57.1041
2026-04-20T10:02:30,53.3785
2026-04-20T10:02:40,47.2224
2026-04-20T10:02:50,31.4649
2026-04-20T10:03:00,49.6901
2026-04-20T10:03:10,40.8269
2026-04-20T10:03:20,51.1493
2026-04-20T10:03:30,42.7227
2026-04-20T10:03:40,29.7432
2026-04-20T10:03:50,41.2378
2026-04-20T10:04:00,98.6454
2026-04-20T10:04:10,148.5971
2026-04-20T10:04:20,171.5536
2026-04-20T10:04:30,207.4067
2026-04-20T10:04:40,111.3473
2026-04-20T10:04:50,307.332
2026-04-20T10:05:00,199.2081
2026-04-20T10:05:10,240.613
2026-04-20T10:05:20,199.7113
2026-04-20T10:05:30,241.396
2026-04-20T10:05:40,391.7592
2026-04-20T10:05:50,379.7298
2026-04-20T10:06:00,352.1974
2026-04-20T10:06:10,320.9461
2026-04-20T10:06:20,347.399
2026-04-20T10:06:30,408.0656
2026-04-20T10:06:40,321.3021
2026-04-20T10:06:50,470.3992
2026-04-20T10:07:00,331.7004
2026-04-20T10:07:10,481.06
2026-04-20T10:07:20,393.4264
2026-04-20T10:07:30,434.554
2026-04-20T10:07:40,403.2927
2026-04-20T10:07:50,376.8545
2026-04-20T10:08:00,589.8355
2026-04-20T10:08:10,357.047
2026-04-20T10:08:20,585.9622
2026-04-20T10:08:30,390.2767
2026-04-20T10:08:40,632.7146
2026-04-20T10:08:50,527.7829
2026-04-20T10:09:00,586.6256
2026-04-20T10:09:10,510.726
2026-04-20T10:09:20,516.9148
2026-04-20T10:09:30,865.6375
2026-04-20T10:09:40,516.7914
2026-04-20T10:09:50,568.7082
