time,value
2026-04-20T10:00:00,51.3329
2026-04-20T10:00:10,49.1414
2026-04-20T10:00:20,47.9054
2026-04-20T10:00:30,43.3351
2026-04-20T10:00:40,48.2386
2026-04-20T10:00:50,44.4399
2026-04-20T10:01:00,49.4541
2026-04-20T10:01:10,40.5869
2026-04-20T10:01:20,46.909
2026-04-20T10:01:30,45.1304
2026-04-20T10:01:40,47.4203
2026-04-20T10:01:50,51.3098
2026-04-20T10:02:00,46.4074
2026-04-20T10:02:10,48.1275
2026-04-20T10:02:20,44.2625
2026-04-20T10:02:30,45.3002
2026-04-20T10:02:40,43.2771
2026-04-20T10:02:50,40.2395
2026-04-20T10:03:00,46.646
2026-04-20T10:03:10,42.1253
2026-04-20T10:03:20,43.2914
2026-04-20T10:03:30,50.2733
2026-04-20T10:03:40,52.8649
2026-04-20T10:03:50,51.2757
2026-04-20T10:04:00,54.5891
2026-04-20T10:04:10,63.6931
2026-04-20T10:04:20,62.3376
2026-04-20T10:04:30,67.8027
2026-04-20T10:04:40,75.3084
2026-04-20T10:04:50,73.2891
2026-04-20T10:05:00,72.9948
2026-04-20T10:05:10,78.8343
2026-04-20T10:05:20,81.4261
2026-04-20T10:05:30,86.1675
2026-04-20T10:05:40,87.522
2026-04-20T10:05:50,90.8457
2026-04-20T10:06:00,103.4526
2026-04-20T10:06:10,101.1704
2026-04-20T10:06:20,111.6334
2026-04-20T10:06:30,116.2732
2026-04-20T10:06:40,106.4749
2026-04-20T10:06:50,118.9029
2026-04-20T10:07:00,121.2876
2026-04-20T10:07:10,139.5466
2026-04-20T10:07:20,125.308
2026-04-20T10:07:30,140.5213
2026-04-20T10:07:40,133.4556
2026-04-20T10:07:50,147.2942
2026-04-20T10:08:00,149.5485
2026-04-20T10:08:10,154.0005
2026-04-20T10:08:20,154.6981
2026-04-20T10:08:30,177.3337
2026-04-20T10:08:40,159.9021
2026-04-20T10:08:50,168.9807
2026-04-20T10:09:00,175.9363
2026-04-20T10:09:10,183.7984
2026-04-20T10:09:20,196.5291
2026-04-20T10:09:30,178.1125
2026-04-20T10:09:40,189.1092
2026-04-20T10:09:50,204.6983
