time,value
2026-04-20T10:00:00,0.0291
2026-04-20T10:00:10,0.0774
2026-04-20T10:00:20,0.106
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0884
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0039
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.067
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0623
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0268
2026-04-20T10:02:40,0.0377
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0085
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0991
2026-04-20T10:03:40,6.4506
2026-04-20T10:03:50,9.3741
2026-04-20T10:04:00,13.0481
2026-04-20T10:04:10,19.4851
2026-04-20T10:04:20,23.3295
2026-04-20T10:04:30,26.3003
2026-04-20T10:04:40,21.9099
2026-04-20T10:04:50,16.9268
2026-04-20T10:05:00,43.3172
2026-04-20T10:05:10,35.5183
2026-04-20T10:05:20,46.5594
2026-04-20T10:05:30,46.8553
2026-04-20T10:05:40,48.8059
2026-04-20T10:05:50,58.301
2026-04-20T10:06:00,53.0097
2026-04-20T10:06:10,61.0531
2026-04-20T10:06:20,47.1997
2026-04-20T10:06:30,51.3406
2026-04-20T10:06:40,59.937
2026-04-20T10:06:50,76.8452
2026-04-20T10:07:00,51.6431
2026-04-20T10:07:10,71.5894
2026-04-20T10:07:20,89.6907
2026-04-20T10:07:30,60.1407
2026-04-20T10:07:40,88.0243
2026-04-20T10:07:50,67.568
2026-04-20T10:08:00,76.048
2026-04-20T10:08:10,119.7958
2026-04-20T10:08:20,102.7421
2026-04-20T10:08:30,90.8923
2026-04-20T10:08:40,77.9151
2026-04-20T10:08:50,68.6489
2026-04-20T10:09:00,86.3245
2026-04-20T10:09:10,67.735
2026-04-20T10:09:20,119.5635
2026-04-20T10:09:30,90.286
2026-04-20T10:09:40,73.7178
2026-04-20T10:09:50,129.1763
