time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.049
2026-04-20T10:00:20,0.0414
2026-04-20T10:00:30,0.0302
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.1505
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0614
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0341
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.1361
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.1352
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.1581
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0877
2026-04-20T10:04:00,0.023
2026-04-20T10:04:10,0.056
2026-04-20T10:04:20,4.9725
2026-04-20T10:04:30,10.8489
2026-04-20T10:04:40,14.5231
2026-04-20T10:04:50,15.6452
2026-04-20T10:05:00,24.3608
2026-04-20T10:05:10,21.8321
2026-04-20T10:05:20,29.1358
2026-04-20T10:05:30,15.363
2026-04-20T10:05:40,22.8073
2026-04-20T10:05:50,27.1749
2026-04-20T10:06:00,13.9322
2026-04-20T10:06:10,37.3032
2026-04-20T10:06:20,26.0506
2026-04-20T10:06:30,42.3295
2026-04-20T10:06:40,43.4483
2026-04-20T10:06:50,28.8066
2026-04-20T10:07:00,24.2816
2026-04-20T10:07:10,44.0181
2026-04-20T10:07:20,57.9454
2026-04-20T10:07:30,29.7652
2026-04-20T10:07:40,17.6811
2026-04-20T10:07:50,61.7695
2026-04-20T10:08:00,47.126
2026-04-20T10:08:10,42.8244
2026-04-20T10:08:20,20.1995
2026-04-20T10:08:30,59.6327
2026-04-20T10:08:40,49.8324
2026-04-20T10:08:50,41.1599
2026-04-20T10:09:00,37.9142
2026-04-20T10:09:10,29.4252
2026-04-20T10:09:20,57.044
2026-04-20T10:09:30,44.4636
2026-04-20T10:09:40,56.8408
2026-04-20T10:09:50,60.5039
