time,value
2026-04-20T10:00:00,0.1355
2026-04-20T10:00:10,0.1347
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0929
2026-04-20T10:01:00,0.0146
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.026
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.1098
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.025
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0888
2026-04-20T10:03:10,0.0449
2026-04-20T10:03:20,0.027
2026-04-20T10:03:30,13.9621
2026-04-20T10:03:40,26.1948
2026-04-20T10:03:50,38.803
2026-04-20T10:04:00,70.4125
2026-04-20T10:04:10,65.0328
2026-04-20T10:04:20,51.5103
2026-04-20T10:04:30,62.477
2026-04-20T10:04:40,91.397
2026-04-20T10:04:50,148.7648
2026-04-20T10:05:00,180.5326
2026-04-20T10:05:10,177.2132
2026-04-20T10:05:20,147.4338
2026-04-20T10:05:30,238.7028
2026-04-20T10:05:40,154.1298
2026-04-20T10:05:50,159.1389
2026-04-20T10:06:00,230.7876
2026-04-20T10:06:10,290.8044
2026-04-20T10:06:20,126.9375
2026-04-20T10:06:30,278.3056
2026-04-20T10:06:40,197.4636
2026-04-20T10:06:50,269.2149
2026-04-20T10:07:00,381.4834
2026-04-20T10:07:10,200.099
2026-04-20T10:07:20,245.5045
2026-04-20T10:07:30,285.619
2026-04-20T10:07:40,267.9472
2026-04-20T10:07:50,301.2799
2026-04-20T10:08:00,317.7219
2026-04-20T10:08:10,352.9068
2026-04-20T10:08:20,379.9553
2026-04-20T10:08:30,263.1084
2026-04-20T10:08:40,466.6918
2026-04-20T10:08:50,339.569
2026-04-20T10:09:00,393.4901
2026-04-20T10:09:10,404.7437
2026-04-20T10:09:20,380.6953
2026-04-20T10:09:30,310.4414
2026-04-20T10:09:40,383.3015
2026-04-20T10:09:50,454.981
