time,value
2026-04-20T10:00:00,0.7321
2026-04-20T10:00:10,1.3117
2026-04-20T10:00:20,0.7994
2026-04-20T10:00:30,0.1269
2026-04-20T10:00:40,0.7748
2026-04-20T10:00:50,0.7155
2026-04-20T10:01:00,0.7573
2026-04-20T10:01:10,0.7904
2026-04-20T10:01:20,1.2107
2026-04-20T10:01:30,1.3034
2026-04-20T10:01:40,0.7548
2026-04-20T10:01:50,1.4857
2026-04-20T10:02:00,1.8119
2026-04-20T10:02:10,2.0395
2026-04-20T10:02:20,1.1361
2026-04-20T10:02:30,1.0707
2026-04-20T10:02:40,1.782
2026-04-20T10:02:50,1.0725
2026-04-20T10:03:00,0.5344
2026-04-20T10:03:10,1.6702
2026-04-20T10:03:20,1.0751
2026-04-20T10:03:30,0.2768
2026-04-20T10:03:40,0.2162
2026-04-20T10:03:50,0.2254
2026-04-20T10:04:00,0.6693
2026-04-20T10:04:10,1.4329
2026-04-20T10:04:20,53.4876
2026-04-20T10:04:30,37.107
2026-04-20T10:04:40,100.0303
2026-04-20T10:04:50,112.8672
2026-04-20T10:05:00,67.0424
2026-04-20T10:05:10,80.1049
2026-04-20T10:05:20,123.9438
2026-04-20T10:05:30,124.2247
2026-04-20T10:05:40,76.5185
2026-04-20T10:05:50,167.0195
2026-04-20T10:06:00,82.202
2026-04-20T10:06:10,87.232
2026-04-20T10:06:20,143.8845
2026-04-20T10:06:30,120.8867
2026-04-20T10:06:40,98.1428
2026-04-20T10:06:50,143.0202
2026-04-20T10:07:00,172.7658
2026-04-20T10:07:10,268.2722
2026-04-20T10:07:20,84.4978
2026-04-20T10:07:30,270.7397
2026-04-20T10:07:40,101.2328
2026-04-20T10:07:50,205.4334
2026-04-20T10:08:00,240.6345
2026-04-20T10:08:10,252.7184
2026-04-20T10:08:20,397.582
2026-04-20T10:08:30,258.9047
2026-04-20T10:08:40,307.8513
2026-04-20T10:08:50,214.2308
2026-04-20T10:09:00,309.036
2026-04-20T10:09:10,153.1767
2026-04-20T10:09:20,198.4463
2026-04-20T10:09:30,268.4345
2026-04-20T10:09:40,332.643
2026-04-20T10:09:50,257.1128
