time,value
2026-04-20T10:00:00,22.9776
2026-04-20T10:00:10,16.7562
2026-04-20T10:00:20,29.3023
2026-04-20T10:00:30,30.3903
2026-04-20T10:00:40,13.2062
2026-04-20T10:00:50,17.9447
2026-04-20T10:01:00,21.3433
2026-04-20T10:01:10,17.0231
2026-04-20T10:01:20,16.5434
2026-04-20T10:01:30,23.7293
2026-04-20T10:01:40,27.2144
2026-04-20T10:01:50,19.1409
2026-04-20T10:02:00,23.302
2026-04-20T10:02:10,22.7825
2026-04-20T10:02:20,23.32
2026-04-20T10:02:30,20.0525
2026-04-20T10:02:40,12.8267
2026-04-20T10:02:50,17.9037
2026-04-20T10:03:00,25.1757
2026-04-20T10:03:10,13.7342
2026-04-20T10:03:20,19.781
2026-04-20T10:03:30,26.826
2026-04-20T10:03:40,26.3916
2026-04-20T10:03:50,19.9753
2026-04-20T10:04:00,77.3463
2026-04-20T10:04:10,225.1094
2026-04-20T10:04:20,366.7364
2026-04-20T10:04:30,185.1693
2026-04-20T10:04:40,254.4603
2026-04-20T10:04:50,391.7321
2026-04-20T10:05:00,248.4779
2026-04-20T10:05:10,465.9417
2026-04-20T10:05:20,317.6927
2026-04-20T10:05:30,290.6191
2026-04-20T10:05:40,439.5499
2026-04-20T10:05:50,647.3772
2026-04-20T10:06:00,637.6702
2026-04-20T10:06:10,725.7703
2026-04-20T10:06:20,316.5698
2026-04-20T10:06:30,688.3012
2026-04-20T10:06:40,535.166
2026-04-20T10:06:50,514.8452
2026-04-20T10:07:00,527.2465
2026-04-20T10:07:10,491.0296
2026-04-20T10:07:20,641.0954
2026-04-20T10:07:30,769.8569
2026-04-20T10:07:40,423.7581
2026-04-20T10:07:50,403.2916
2026-04-20T10:08:00,1010.3195
2026-04-20T10:08:10,975.8229
2026-04-20T10:08:20,729.6136
2026-04-20T10:08:30,777.5222
2026-04-20T10:08:40,787.0842
2026-04-20T10:08:50,1010.7684
2026-04-20T10:09:00,261.9469
2026-04-20T10:09:10,1108.1891
2026-04-20T10:09:20,727.0099
2026-04-20T10:09:30,1044.065
2026-04-20T10:09:40,1221.0655
2026-04-20T10:09:50,797.7581
