time,value
2026-04-20T10:00:00,0.1329
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.1788
2026-04-20T10:00:30,0.1026
2026-04-20T10:00:40,0.1302
2026-04-20T10:00:50,0.2036
2026-04-20T10:01:00,0.061
2026-04-20T10:01:10,0.1262
2026-04-20T10:01:20,0.1075
2026-04-20T10:01:30,0.1827
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.173
2026-04-20T10:02:00,0.0541
2026-04-20T10:02:10,0.0167
2026-04-20T10:02:20,0.1708
2026-04-20T10:02:30,0.1371
2026-04-20T10:02:40,0.1063
2026-04-20T10:02:50,0.0406
2026-04-20T10:03:00,0.1096
2026-04-20T10:03:10,0.1539
2026-04-20T10:03:20,0.1392
2026-04-20T10:03:30,1.3299
2026-04-20T10:03:40,1.5498
2026-04-20T10:03:50,2.2608
2026-04-20T10:04:00,4.183
2026-04-20T10:04:10,3.3706
2026-04-20T10:04:20,11.0493
2026-04-20T10:04:30,9.6461
2026-04-20T10:04:40,6.5556
2026-04-20T10:04:50,4.0803
2026-04-20T10:05:00,7.0789
2026-04-20T10:05:10,13.0185
2026-04-20T10:05:20,14.9942
2026-04-20T10:05:30,19.1691
2026-04-20T10:05:40,8.3082
2026-04-20T10:05:50,5.614
2026-04-20T10:06:00,17.1301
2026-04-20T10:06:10,9.2098
2026-04-20T10:06:20,22.4616
2026-04-20T10:06:30,15.2658
2026-04-20T10:06:40,14.3815
2026-04-20T10:06:50,12.8946
2026-04-20T10:07:00,30.2723
2026-04-20T10:07:10,9.0158
2026-04-20T10:07:20,14.4542
2026-04-20T10:07:30,22.135
2026-04-20T10:07:40,16.6776
2026-04-20T10:07:50,29.157
2026-04-20T10:08:00,27.6932
2026-04-20T10:08:10,6.9384
2026-04-20T10:08:20,17.0332
2026-04-20T10:08:30,17.0591
2026-04-20T10:08:40,30.2733
2026-04-20T10:08:50,17.2431
2026-04-20T10:09:00,11.472
2026-04-20T10:09:10,31.2938
2026-04-20T10:09:20,20.3056
2026-04-20T10:09:30,35.8129
2026-04-20T10:09:40,31.5456
2026-04-20T10:09:50,37.0554
