time,value
2026-04-20T10:00:00,0.5922
2026-04-20T10:00:10,0.5316
2026-04-20T10:00:20,0.7372
2026-04-20T10:00:30,0.3731
2026-04-20T10:00:40,0.3255
2026-04-20T10:00:50,0.2527
2026-04-20T10:01:00,0.1732
2026-04-20T10:01:10,0.737
2026-04-20T10:01:20,0.3821
2026-04-20T10:01:30,0.5632
2026-04-20T10:01:40,0.9354
2026-04-20T10:01:50,0.6081
2026-04-20T10:02:00,0.5062
2026-04-20T10:02:10,0.9201
2026-04-20T10:02:20,0.0625
2026-04-20T10:02:30,0.6794
2026-04-20T10:02:40,0.2363
2026-04-20T10:02:50,0.2764
2026-04-20T10:03:00,0.6844
2026-04-20T10:03:10,0.436
2026-04-20T10:03:20,0.8691
2026-04-20T10:03:30,0.716
2026-04-20T10:03:40,1.4715
2026-04-20T10:03:50,7.0869
2026-04-20T10:04:00,4.1204
2026-04-20T10:04:10,8.8006
2026-04-20T10:04:20,14.5002
2026-04-20T10:04:30,8.2905
2026-04-20T10:04:40,12.1824
2026-04-20T10:04:50,12.9227
2026-04-20T10:05:00,19.8841
2026-04-20T10:05:10,21.5843
2026-04-20T10:05:20,13.9443
2026-04-20T10:05:30,5.2506
2026-04-20T10:05:40,25.7396
2026-04-20T10:05:50,23.3061
2026-04-20T10:06:00,28.0942
2026-04-20T10:06:10,25.4336
2026-04-20T10:06:20,43.2802
2026-04-20T10:06:30,24.4311
2026-04-20T10:06:40,20.5538
2026-04-20T10:06:50,29.138
2026-04-20T10:07:00,47.3418
2026-04-20T10:07:10,19.8893
2026-04-20T10:07:20,41.1111
2026-04-20T10:07:30,38.9539
2026-04-20T10:07:40,28.5956
2026-04-20T10:07:50,47.4923
2026-04-20T10:08:00,42.0402
2026-04-20T10:08:10,42.3923
2026-04-20T10:08:20,54.149
2026-04-20T10:08:30,54.0741
2026-04-20T10:08:40,69.8792
2026-04-20T10:08:50,51.128
2026-04-20T10:09:00,59.8223
2026-04-20T10:09:10,65.391
2026-04-20T10:09:20,52.0238
2026-04-20T10:09:30,59.0534
2026-04-20T10:09:40,69.9207
2026-04-20T10:09:50,30.0426
