time,value
2026-04-20T10:00:00,52.7809
2026-04-20T10:00:10,56.0516
2026-04-20T10:00:20,69.3503
2026-04-20T10:00:30,57.7365
2026-04-20T10:00:40,66.8253
2026-04-20T10:00:50,60.8917
2026-04-20T10:01:00,61.3332
2026-04-20T10:01:10,55.3255
2026-04-20T10:01:20,66.4445
2026-04-20T10:01:30,61.7213
2026-04-20T10:01:40,60.9315
2026-04-20T10:01:50,61.025
2026-04-20T10:02:00,56.1857
2026-04-20T10:02:10,56.3256
2026-04-20T10:02:20,53.7523
2026-04-20T10:02:30,64.5109
2026-04-20T10:02:40,64.9005
2026-04-20T10:02:50,58.2449
2026-04-20T10:03:00,69.2446
2026-04-20T10:03:10,56.8682
2026-04-20T10:03:20,57.3383
2026-04-20T10:03:30,59.6063
2026-04-20T10:03:40,65.1689
2026-04-20T10:03:50,67.4635
2026-04-20T10:04:00,73.6002
2026-04-20T10:04:10,77.7112
2026-04-20T10:04:20,80.0491
2026-04-20T10:04:30,82.5326
2026-04-20T10:04:40,79.7635
2026-04-20T10:04:50,84.974
2026-04-20T10:05:00,84.6827
2026-04-20T10:05:10,88.5148
2026-04-20T10:05:20,91.5289
2026-04-20T10:05:30,93.4026
2026-04-20T10:05:40,94.9308
2026-04-20T10:05:50,99.3745
2026-04-20T10:06:00,103.8803
2026-04-20T10:06:10,109.28
2026-04-20T10:06:20,114.7769
2026-04-20T10:06:30,119.8527
2026-04-20T10:06:40,123.8772
2026-04-20T10:06:50,129.3596
2026-04-20T10:07:00,134.6956
2026-04-20T10:07:10,138.9576
2026-04-20T10:07:20,143.4575
2026-04-20T10:07:30,149.5516
2026-04-20T10:07:40,154.5832
2026-04-20T10:07:50,158.9989
2026-04-20T10:08:00,164.5695
2026-04-20T10:08:10,170.1908
2026-04-20T10:08:20,174.282
2026-04-20T10:08:30,178.0363
2026-04-20T10:08:40,184.0061
2026-04-20T10:08:50,188.293
2026-04-20T10:09:00,193.8453
2026-04-20T10:09:10,198.2855
2026-04-20T10:09:20,203.3372
2026-04-20T10:09:30,208.5644
2026-04-20T10:09:40,213.2325
2026-04-20T10:09:50,219.6858
