time,value
2026-04-20T10:00:00,3.5981
2026-04-20T10:00:10,2.7263
2026-04-20T10:00:20,0.4961
2026-04-20T10:00:30,2.928
2026-04-20T10:00:40,2.4859
2026-04-20T10:00:50,2.1332
2026-04-20T10:01:00,2.5852
2026-04-20T10:01:10,1.5412
2026-04-20T10:01:20,2.6167
2026-04-20T10:01:30,3.2319
2026-04-20T10:01:40,0.8299
2026-04-20T10:01:50,1.6637
2026-04-20T10:02:00,2.6694
2026-04-20T10:02:10,2.4249
2026-04-20T10:02:20,1.79
2026-04-20T10:02:30,1.1869
2026-04-20T10:02:40,0.4781
2026-04-20T10:02:50,1.0335
2026-04-20T10:03:00,1.8987
2026-04-20T10:03:10,1.5311
2026-04-20T10:03:20,1.1192
2026-04-20T10:03:30,0.1025
2026-04-20T10:03:40,1.1975
2026-04-20T10:03:50,2.654
2026-04-20T10:04:00,2.3978
2026-04-20T10:04:10,1.0735
2026-04-20T10:04:20,5.1703
2026-04-20T10:04:30,18.1678
2026-04-20T10:04:40,40.0987
2026-04-20T10:04:50,49.9025
2026-04-20T10:05:00,18.2467
2026-04-20T10:05:10,35.3605
2026-04-20T10:05:20,25.7939
2026-04-20T10:05:30,34.9961
2026-04-20T10:05:40,38.7819
2026-04-20T10:05:50,68.4835
2026-04-20T10:06:00,57.2235
2026-04-20T10:06:10,55.8143
2026-04-20T10:06:20,95.3357
2026-04-20T10:06:30,71.3536
2026-04-20T10:06:40,96.5079
2026-04-20T10:06:50,108.2683
2026-04-20T10:07:00,92.8138
2026-04-20T10:07:10,70.9024
2026-04-20T10:07:20,120.4129
2026-04-20T10:07:30,115.0396
2026-04-20T10:07:40,84.2115
2026-04-20T10:07:50,133.6972
2026-04-20T10:08:00,111.6879
2026-04-20T10:08:10,130.9407
2026-04-20T10:08:20,181.7659
2026-04-20T10:08:30,150.5618
2026-04-20T10:08:40,134.0406
2026-04-20T10:08:50,96.0392
2026-04-20T10:09:00,144.473
2026-04-20T10:09:10,109.7018
2026-04-20T10:09:20,111.5151
2026-04-20T10:09:30,173.2483
2026-04-20T10:09:40,173.8762
2026-04-20T10:09:50,89.58
