time,value
2026-04-20T10:00:00,1.9928
2026-04-20T10:00:10,3.8035
2026-04-20T10:00:20,4.9295
2026-04-20T10:00:30,2.2813
2026-04-20T10:00:40,6.1682
2026-04-20T10:00:50,7.6484
2026-04-20T10:01:00,7.6335
2026-04-20T10:01:10,7.9554
2026-04-20T10:01:20,4.687
2026-04-20T10:01:30,2.8429
2026-04-20T10:01:40,5.0032
2026-04-20T10:01:50,7.9458
2026-04-20T10:02:00,3.7902
2026-04-20T10:02:10,2.5977
2026-04-20T10:02:20,5.5163
2026-04-20T10:02:30,2.3248
2026-04-20T10:02:40,4.0268
2026-04-20T10:02:50,5.4711
2026-04-20T10:03:00,3.639
2026-04-20T10:03:10,1.475
2026-04-20T10:03:20,6.995
2026-04-20T10:03:30,9.0023
2026-04-20T10:03:40,6.073
2026-04-20T10:03:50,6.0712
2026-04-20T10:04:00,69.0833
2026-04-20T10:04:10,63.2151
2026-04-20T10:04:20,45.9541
2026-04-20T10:04:30,56.8108
2026-04-20T10:04:40,87.3079
2026-04-20T10:04:50,105.3567
2026-04-20T10:05:00,142.9863
2026-04-20T10:05:10,114.7969
2026-04-20T10:05:20,36.6039
2026-04-20T10:05:30,174.5073
2026-04-20T10:05:40,154.1993
2026-04-20T10:05:50,164.2238
2026-04-20T10:06:00,129.058
2026-04-20T10:06:10,136.6055
2026-04-20T10:06:20,164.3148
2026-04-20T10:06:30,214.5666
2026-04-20T10:06:40,125.7536
2026-04-20T10:06:50,226.2563
2026-04-20T10:07:00,241.2993
2026-04-20T10:07:10,221.9329
2026-04-20T10:07:20,195.2442
2026-04-20T10:07:30,113.3224
2026-04-20T10:07:40,317.0601
2026-04-20T10:07:50,271.4697
2026-04-20T10:08:00,317.5325
2026-04-20T10:08:10,245.1372
2026-04-20T10:08:20,190.3978
2026-04-20T10:08:30,243.9598
2026-04-20T10:08:40,432.1633
2026-04-20T10:08:50,233.5211
2026-04-20T10:09:00,245.1764
2026-04-20T10:09:10,340.2326
2026-04-20T10:09:20,367.4236
2026-04-20T10:09:30,445.0365
2026-04-20T10:09:40,351.2739
2026-04-20T10:09:50,362.4265
