time,value
2026-04-20T10:00:00,0.0562
2026-04-20T10:00:10,0.0316
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0127
2026-04-20T10:00:40,0.0406
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.108
2026-04-20T10:01:10,0.0776
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0504
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.1083
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0251
2026-04-20T10:03:50,0.0879
2026-04-20T10:04:00,0.2559
2026-04-20T10:04:10,0.3145
2026-04-20T10:04:20,0.5747
2026-04-20T10:04:30,0.4872
2026-04-20T10:04:40,0.5417
2026-04-20T10:04:50,0.6781
2026-04-20T10:05:00,0.6956
2026-04-20T10:05:10,0.7142
2026-04-20T10:05:20,1.0064
2026-04-20T10:05:30,0.8652
2026-04-20T10:05:40,1.0993
2026-04-20T10:05:50,1.0684
2026-04-20T10:06:00,0.9365
2026-04-20T10:06:10,1.1002
2026-04-20T10:06:20,1.2086
2026-04-20T10:06:30,1.1303
2026-04-20T10:06:40,1.3738
2026-04-20T10:06:50,1.2198
2026-04-20T10:07:00,1.3881
2026-04-20T10:07:10,1.424
2026-04-20T10:07:20,1.3535
2026-04-20T10:07:30,1.5605
2026-04-20T10:07:40,1.6071
2026-04-20T10:07:50,1.8525
2026-04-20T10:08:00,1.6498
2026-04-20T10:08:10,1.8273
2026-04-20T10:08:20,1.7329
2026-04-20T10:08:30,1.8681
2026-04-20T10:08:40,1.982
2026-04-20T10:08:50,1.838
2026-04-20T10:09:00,2.0012
2026-04-20T10:09:10,2.1845
2026-04-20T10:09:20,2.0605
2026-04-20T10:09:30,1.9489
2026-04-20T10:09:40,2.0986
2026-04-20T10:09:50,2.261
