time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0416
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0919
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0839
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.1278
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0047
2026-04-20T10:02:00,0.076
2026-04-20T10:02:10,0.093
2026-04-20T10:02:20,0.0132
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0763
2026-04-20T10:02:50,0.0148
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0663
2026-04-20T10:03:20,0.0424
2026-04-20T10:03:30,0.1184
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,4.6446
2026-04-20T10:04:10,7.278
2026-04-20T10:04:20,2.5401
2026-04-20T10:04:30,6.6268
2026-04-20T10:04:40,8.8244
2026-04-20T10:04:50,11.1635
2026-04-20T10:05:00,13.0965
2026-04-20T10:05:10,10.9547
2026-04-20T10:05:20,6.7688
2026-04-20T10:05:30,16.7598
2026-04-20T10:05:40,20.8247
2026-04-20T10:05:50,17.4074
2026-04-20T10:06:00,21.6088
2026-04-20T10:06:10,17.6468
2026-04-20T10:06:20,15.7613
2026-04-20T10:06:30,21.1223
2026-04-20T10:06:40,18.707
2026-04-20T10:06:50,16.5605
2026-04-20T10:07:00,14.6506
2026-04-20T10:07:10,27.3222
2026-04-20T10:07:20,10.7114
2026-04-20T10:07:30,9.1025
2026-04-20T10:07:40,29.2704
2026-04-20T10:07:50,15.5254
2026-04-20T10:08:00,15.5028
2026-04-20T10:08:10,37.0649
2026-04-20T10:08:20,50.025
2026-04-20T10:08:30,28.8419
2026-04-20T10:08:40,34.5572
2026-04-20T10:08:50,19.8047
2026-04-20T10:09:00,38.8121
2026-04-20T10:09:10,16.669
2026-04-20T10:09:20,19.9148
2026-04-20T10:09:30,14.6969
2026-04-20T10:09:40,28.1557
2026-04-20T10:09:50,19.1197
