time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0131
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0058
2026-04-20T10:00:40,0.0748
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0076
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0123
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0514
2026-04-20T10:02:50,0.0294
2026-04-20T10:03:00,0.0128
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.06
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.1774
2026-04-20T10:03:50,0.2333
2026-04-20T10:04:00,0.1817
2026-04-20T10:04:10,0.3246
2026-04-20T10:04:20,0.5033
2026-04-20T10:04:30,0.654
2026-04-20T10:04:40,0.5531
2026-04-20T10:04:50,0.7697
2026-04-20T10:05:00,0.7558
2026-04-20T10:05:10,0.6455
2026-04-20T10:05:20,0.8849
2026-04-20T10:05:30,0.8076
2026-04-20T10:05:40,0.9633
2026-04-20T10:05:50,0.9919
2026-04-20T10:06:00,1.069
2026-04-20T10:06:10,1.0576
2026-04-20T10:06:20,1.1254
2026-04-20T10:06:30,1.1012
2026-04-20T10:06:40,1.3069
2026-04-20T10:06:50,1.2343
2026-04-20T10:07:00,1.2218
2026-04-20T10:07:10,1.4155
2026-04-20T10:07:20,1.4144
2026-04-20T10:07:30,1.7912
2026-04-20T10:07:40,1.5384
2026-04-20T10:07:50,1.5533
2026-04-20T10:08:00,1.621
2026-04-20T10:08:10,1.693
2026-04-20T10:08:20,1.7916
2026-04-20T10:08:30,1.8145
2026-04-20T10:08:40,1.835
2026-04-20T10:08:50,1.8733
2026-04-20T10:09:00,2.0439
2026-04-20T10:09:10,1.9878
2026-04-20T10:09:20,1.9084
2026-04-20T10:09:30,1.996
2026-04-20T10:09:40,2.1368
2026-04-20T10:09:50,2.1572
