time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.1639
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0008
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0249
2026-04-20T10:01:00,0.0289
2026-04-20T10:01:10,0.1441
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0665
2026-04-20T10:01:40,0.1099
2026-04-20T10:01:50,0.2553
2026-04-20T10:02:00,0.0488
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.2387
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,0.0
2026-04-20T10:04:10,0.0089
2026-04-20T10:04:20,30.6965
2026-04-20T10:04:30,23.7741
2026-04-20T10:04:40,40.7414
2026-04-20T10:04:50,40.8957
2026-04-20T10:05:00,51.4295
2026-04-20T10:05:10,71.785
2026-04-20T10:05:20,63.4597
2026-04-20T10:05:30,72.6551
2026-04-20T10:05:40,93.8001
2026-04-20T10:05:50,79.7023
2026-04-20T10:06:00,71.0241
2026-04-20T10:06:10,105.5532
2026-04-20T10:06:20,107.0566
2026-04-20T10:06:30,74.6165
2026-04-20T10:06:40,83.05
2026-04-20T10:06:50,35.8475
2026-04-20T10:07:00,72.544
2026-04-20T10:07:10,103.8982
2026-04-20T10:07:20,112.8459
2026-04-20T10:07:30,121.2716
2026-04-20T10:07:40,115.3715
2026-04-20T10:07:50,119.388
2026-04-20T10:08:00,115.6575
2026-04-20T10:08:10,158.06
2026-04-20T10:08:20,123.6252
2026-04-20T10:08:30,152.5917
2026-04-20T10:08:40,133.9747
2026-04-20T10:08:50,137.6611
2026-04-20T10:09:00,116.6141
2026-04-20T10:09:10,96.9389
2026-04-20T10:09:20,131.3762
2026-04-20T10:09:30,149.5664
2026-04-20T10:09:40,181.8238
2026-04-20T10:09:50,161.9048
