time,value
2026-04-20T10:00:00,28.9988
2026-04-20T10:00:10,28.498
2026-04-20T10:00:20,38.514
2026-04-20T10:00:30,40.4705
2026-04-20T10:00:40,35.405
2026-04-20T10:00:50,21.3129
2026-04-20T10:01:00,43.6886
2026-04-20T10:01:10,42.0402
2026-04-20T10:01:20,47.5489
2026-04-20T10:01:30,33.5364
2026-04-20T10:01:40,18.7817
2026-04-20T10:01:50,42.6348
2026-04-20T10:02:00,23.6507
2026-04-20T10:02:10,21.2713
2026-04-20T10:02:20,34.0448
2026-04-20T10:02:30,27.8418
2026-04-20T10:02:40,21.9426
2026-04-20T10:02:50,33.3434
2026-04-20T10:03:00,48.2012
2026-04-20T10:03:10,34.105
2026-04-20T10:03:20,23.9093
2026-04-20T10:03:30,28.1174
2026-04-20T10:03:40,38.9815
2026-04-20T10:03:50,20.745
2026-04-20T10:04:00,158.3251
2026-04-20T10:04:10,160.2896
2026-04-20T10:04:20,164.9621
2026-04-20T10:04:30,118.82
2026-04-20T10:04:40,236.1339
2026-04-20T10:04:50,288.5432
2026-04-20T10:05:00,299.3523
2026-04-20T10:05:10,205.6256
2026-04-20T10:05:20,319.9423
2026-04-20T10:05:30,423.0026
2026-04-20T10:05:40,470.7297
2026-04-20T10:05:50,368.7843
2026-04-20T10:06:00,380.5827
2026-04-20T10:06:10,405.0655
2026-04-20T10:06:20,446.6059
2026-04-20T10:06:30,693.6545
2026-04-20T10:06:40,572.3171
2026-04-20T10:06:50,386.5656
2026-04-20T10:07:00,433.5434
2026-04-20T10:07:10,378.3796
2026-04-20T10:07:20,531.9908
2026-04-20T10:07:30,537.2278
2026-04-20T10:07:40,442.2329
2026-04-20T10:07:50,381.9843
2026-04-20T10:08:00,611.7629
2026-04-20T10:08:10,883.542
2026-04-20T10:08:20,702.0723
2026-04-20T10:08:30,765.1532
2026-04-20T10:08:40,641.8898
2026-04-20T10:08:50,623.7613
2026-04-20T10:09:00,844.824
2026-04-20T10:09:10,770.539
2026-04-20T10:09:20,785.9713
2026-04-20T10:09:30,973.6349
2026-04-20T10:09:40,849.0632
2026-04-20T10:09:50,470.5295
