time,value
2026-04-20T10:00:00,1.2286
2026-04-20T10:00:10,0.9336
2026-04-20T10:00:20,0.8071
2026-04-20T10:00:30,1.1027
2026-04-20T10:00:40,0.2483
2026-04-20T10:00:50,0.4602
2026-04-20T10:01:00,0.5323
2026-04-20T10:01:10,0.8354
2026-04-20T10:01:20,1.2078
2026-04-20T10:01:30,1.2557
2026-04-20T10:01:40,0.5408
2026-04-20T10:01:50,0.8075
2026-04-20T10:02:00,0.6933
2026-04-20T10:02:10,1.5064
2026-04-20T10:02:20,1.824
2026-04-20T10:02:30,0.4606
2026-04-20T10:02:40,1.133
2026-04-20T10:02:50,0.5551
2026-04-20T10:03:00,0.2309
2026-04-20T10:03:10,0.3835
2026-04-20T10:03:20,2.1076
2026-04-20T10:03:30,0.9836
2026-04-20T10:03:40,1.1283
2026-04-20T10:03:50,1.3252
2026-04-20T10:04:00,0.559
2026-04-20T10:04:10,2.0034
2026-04-20T10:04:20,26.9743
2026-04-20T10:04:30,47.7713
2026-04-20T10:04:40,30.0437
2026-04-20T10:04:50,83.7036
2026-04-20T10:05:00,79.3467
2026-04-20T10:05:10,56.2421
2026-04-20T10:05:20,70.3297
2026-04-20T10:05:30,59.2791
2026-04-20T10:05:40,39.7317
2026-04-20T10:05:50,115.8121
2026-04-20T10:06:00,84.6211
2026-04-20T10:06:10,122.5913
2026-04-20T10:06:20,120.8149
2026-04-20T10:06:30,108.778
2026-04-20T10:06:40,108.2424
2026-04-20T10:06:50,41.614
2026-04-20T10:07:00,140.9744
2026-04-20T10:07:10,109.5523
2026-04-20T10:07:20,76.7405
2026-04-20T10:07:30,102.7009
2026-04-20T10:07:40,171.641
2026-04-20T10:07:50,111.7876
2026-04-20T10:08:00,169.95
2026-04-20T10:08:10,123.1475
2026-04-20T10:08:20,183.8643
2026-04-20T10:08:30,160.0413
2026-04-20T10:08:40,248.138
2026-04-20T10:08:50,175.4094
2026-04-20T10:09:00,181.1688
2026-04-20T10:09:10,113.6628
2026-04-20T10:09:20,167.1068
2026-04-20T10:09:30,176.8464
2026-04-20T10:09:40,211.4054
2026-04-20T10:09:50,194.7451
