time,value
2026-04-20T10:00:00,3.4636
2026-04-20T10:00:10,5.4792
2026-04-20T10:00:20,6.296
2026-04-20T10:00:30,5.7316
2026-04-20T10:00:40,5.3212
2026-04-20T10:00:50,3.4978
2026-04-20T10:01:00,2.2152
2026-04-20T10:01:10,3.9923
2026-04-20T10:01:20,6.0979
2026-04-20T10:01:30,7.3665
2026-04-20T10:01:40,3.1739
2026-04-20T10:01:50,2.2224
2026-04-20T10:02:00,5.6195
2026-04-20T10:02:10,4.6442
2026-04-20T10:02:20,3.5268
2026-04-20T10:02:30,7.4389
2026-04-20T10:02:40,6.7236
2026-04-20T10:02:50,5.1143
2026-04-20T10:03:00,3.8285
2026-04-20T10:03:10,3.1547
2026-04-20T10:03:20,2.057
2026-04-20T10:03:30,6.4549
2026-04-20T10:03:40,21.3852
2026-04-20T10:03:50,27.323
2026-04-20T10:04:00,24.0942
2026-04-20T10:04:10,32.2331
2026-04-20T10:04:20,42.214
2026-04-20T10:04:30,20.2793
2026-04-20T10:04:40,30.9339
2026-04-20T10:04:50,49.1479
2026-04-20T10:05:00,39.9273
2026-04-20T10:05:10,97.4981
2026-04-20T10:05:20,77.4095
2026-04-20T10:05:30,81.6896
2026-04-20T10:05:40,76.0822
2026-04-20T10:05:50,129.5277
2026-04-20T10:06:00,41.0487
2026-04-20T10:06:10,62.1277
2026-04-20T10:06:20,75.615
2026-04-20T10:06:30,119.7606
2026-04-20T10:06:40,90.3188
2026-04-20T10:06:50,99.9339
2026-04-20T10:07:00,73.3767
2026-04-20T10:07:10,102.8284
2026-04-20T10:07:20,124.9192
2026-04-20T10:07:30,97.2403
2026-04-20T10:07:40,62.7688
2026-04-20T10:07:50,49.9703
2026-04-20T10:08:00,94.6514
2026-04-20T10:08:10,165.7414
2026-04-20T10:08:20,158.3326
2026-04-20T10:08:30,173.3419
2026-04-20T10:08:40,129.5918
2026-04-20T10:08:50,141.6056
2026-04-20T10:09:00,159.8692
2026-04-20T10:09:10,144.7795
2026-04-20T10:09:20,157.9973
2026-04-20T10:09:30,80.8513
2026-04-20T10:09:40,106.9513
2026-04-20T10:09:50,127.5834
