time,value
2026-04-20T10:00:00,7.3855
2026-04-20T10:00:10,10.7288
2026-04-20T10:00:20,10.1197
2026-04-20T10:00:30,5.6198
2026-04-20T10:00:40,9.6828
2026-04-20T10:00:50,5.7157
2026-04-20T10:01:00,6.7805
2026-04-20T10:01:10,8.6576
2026-04-20T10:01:20,6.9145
2026-04-20T10:01:30,6.6736
2026-04-20T10:01:40,9.3616
2026-04-20T10:01:50,7.8827
2026-04-20T10:02:00,7.9286
2026-04-20T10:02:10,9.5218
2026-04-20T10:02:20,7.3035
2026-04-20T10:02:30,5.8939
2026-04-20T10:02:40,9.5792
2026-04-20T10:02:50,8.0746
2026-04-20T10:03:00,7.5945
2026-04-20T10:03:10,6.3138
2026-04-20T10:03:20,11.6532
2026-04-20T10:03:30,16.3545
2026-04-20T10:03:40,19.4551
2026-04-20T10:03:50,31.6534
2026-04-20T10:04:00,45.6231
2026-04-20T10:04:10,57.0089
2026-04-20T10:04:20,78.7834
2026-04-20T10:04:30,73.6947
2026-04-20T10:04:40,71.5342
2026-04-20T10:04:50,52.8378
2026-04-20T10:05:00,112.8447
2026-04-20T10:05:10,80.9018
2026-04-20T10:05:20,115.3356
2026-04-20T10:05:30,90.9284
2026-04-20T10:05:40,129.9648
2026-04-20T10:05:50,105.7612
2026-04-20T10:06:00,71.5318
2026-04-20T10:06:10,155.8746
2026-04-20T10:06:20,206.5496
2026-04-20T10:06:30,127.0489
2026-04-20T10:06:40,211.9509
2026-04-20T10:06:50,100.6886
2026-04-20T10:07:00,139.7122
2026-04-20T10:07:10,178.4479
2026-04-20T10:07:20,163.8044
2026-04-20T10:07:30,202.6624
2026-04-20T10:07:40,221.7462
2026-04-20T10:07:50,152.1095
2026-04-20T10:08:00,204.2825
2026-04-20T10:08:10,212.0298
2026-04-20T10:08:20,193.7751
2026-04-20T10:08:30,231.9422
2026-04-20T10:08:40,192.9221
2026-04-20T10:08:50,240.8015
2026-04-20T10:09:00,223.6216
2026-04-20T10:09:10,223.2854
2026-04-20T10:09:20,154.2789
2026-04-20T10:09:30,124.7807
2026-04-20T10:09:40,214.4773
2026-04-20T10:09:50,328.9262
