time,value
2026-04-20T10:00:00,0.9705
2026-04-20T10:00:10,1.3719
2026-04-20T10:00:20,1.4741
2026-04-20T10:00:30,1.5408
2026-04-20T10:00:40,1.0155
2026-04-20T10:00:50,0.937
2026-04-20T10:01:00,0.9584
2026-04-20T10:01:10,1.2926
2026-04-20T10:01:20,0.9729
2026-04-20T10:01:30,0.9757
2026-04-20T10:01:40,0.8762
2026-04-20T10:01:50,1.2854
2026-04-20T10:02:00,0.5927
2026-04-20T10:02:10,1.1648
2026-04-20T10:02:20,0.5259
2026-04-20T10:02:30,0.759
2026-04-20T10:02:40,1.1331
2026-04-20T10:02:50,0.7225
2026-04-20T10:03:00,1.1006
2026-04-20T10:03:10,0.9062
2026-04-20T10:03:20,0.3747
2026-04-20T10:03:30,0.8601
2026-04-20T10:03:40,1.1938
2026-04-20T10:03:50,1.145
2026-04-20T10:04:00,5.4481
2026-04-20T10:04:10,6.4977
2026-04-20T10:04:20,8.9292
2026-04-20T10:04:30,12.5874
2026-04-20T10:04:40,8.7103
2026-04-20T10:04:50,13.2007
2026-04-20T10:05:00,14.3122
2026-04-20T10:05:10,16.4514
2026-04-20T10:05:20,19.7302
2026-04-20T10:05:30,17.4653
2026-04-20T10:05:40,13.7683
2026-04-20T10:05:50,13.9486
2026-04-20T10:06:00,15.5258
2026-04-20T10:06:10,26.4379
2026-04-20T10:06:20,17.9955
2026-04-20T10:06:30,26.5638
2026-04-20T10:06:40,31.4468
2026-04-20T10:06:50,20.8978
2026-04-20T10:07:00,19.4091
2026-04-20T10:07:10,28.853
2026-04-20T10:07:20,27.771
2026-04-20T10:07:30,40.8834
2026-04-20T10:07:40,37.3645
2026-04-20T10:07:50,31.3239
2026-04-20T10:08:00,41.7964
2026-04-20T10:08:10,25.9155
2026-04-20T10:08:20,22.1418
2026-04-20T10:08:30,33.304
2026-04-20T10:08:40,33.4264
2026-04-20T10:08:50,19.1083
2026-04-20T10:09:00,61.7577
2026-04-20T10:09:10,44.8256
2026-04-20T10:09:20,41.6973
2026-04-20T10:09:30,46.3751
2026-04-20T10:09:40,37.9044
2026-04-20T10:09:50,41.3912
