time,value
2026-04-20T10:00:00,13529.3837
2026-04-20T10:00:10,9732.5441
2026-04-20T10:00:20,13036.1617
2026-04-20T10:00:30,11776.5806
2026-04-20T10:00:40,10877.729
2026-04-20T10:00:50,5861.0938
2026-04-20T10:01:00,11214.705
2026-04-20T10:01:10,9000.5753
2026-04-20T10:01:20,11084.6441
2026-04-20T10:01:30,9389.612
2026-04-20T10:01:40,11304.0166
2026-04-20T10:01:50,7270.5985
2026-04-20T10:02:00,11465.6936
2026-04-20T10:02:10,8484.3743
2026-04-20T10:02:20,10864.1741
2026-04-20T10:02:30,9741.7069
2026-04-20T10:02:40,8159.6443
2026-04-20T10:02:50,11436.1138
2026-04-20T10:03:00,7355.8865
2026-04-20T10:03:10,7416.9262
2026-04-20T10:03:20,10367.7033
2026-04-20T10:03:30,8234.251
2026-04-20T10:03:40,16875.0943
2026-04-20T10:03:50,20586.2305
2026-04-20T10:04:00,26413.4423
2026-04-20T10:04:10,21557.7767
2026-04-20T10:04:20,19986.1386
2026-04-20T10:04:30,25718.9488
2026-04-20T10:04:40,40035.8515
2026-04-20T10:04:50,44055.7973
2026-04-20T10:05:00,20680.7369
2026-04-20T10:05:10,32575.7281
2026-04-20T10:05:20,36767.1571
2026-04-20T10:05:30,51264.1315
2026-04-20T10:05:40,53256.8085
2026-04-20T10:05:50,40178.4474
2026-04-20T10:06:00,50263.0246
2026-04-20T10:06:10,63100.509
2026-04-20T10:06:20,55626.571
2026-04-20T10:06:30,56988.667
2026-04-20T10:06:40,71710.2375
2026-04-20T10:06:50,63015.3822
2026-04-20T10:07:00,61662.9216
2026-04-20T10:07:10,73196.1318
2026-04-20T10:07:20,87698.2375
2026-04-20T10:07:30,70131.6158
2026-04-20T10:07:40,97409.6054
2026-04-20T10:07:50,88016.6472
2026-04-20T10:08:00,100451.5845
2026-04-20T10:08:10,52498.0017
2026-04-20T10:08:20,105183.5046
2026-04-20T10:08:30,92681.8605
2026-04-20T10:08:40,108697.7101
2026-04-20T10:08:50,62764.4753
2026-04-20T10:09:00,110835.5683
2026-04-20T10:09:10,100416.4103
2026-04-20T10:09:20,83174.0569
2026-04-20T10:09:30,95097.2073
2026-04-20T10:09:40,94817.9409
2026-04-20T10:09:50,137249.6196
