time,value
2026-04-20T10:00:00,0.1218
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.3162
2026-04-20T10:00:30,0.0995
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.1886
2026-04-20T10:01:00,0.1573
2026-04-20T10:01:10,0.0203
2026-04-20T10:01:20,0.2103
2026-04-20T10:01:30,0.173
2026-04-20T10:01:40,0.0929
2026-04-20T10:01:50,0.2322
2026-04-20T10:02:00,0.0202
2026-04-20T10:02:10,0.0824
2026-04-20T10:02:20,0.0384
2026-04-20T10:02:30,0.1002
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0455
2026-04-20T10:03:00,0.1346
2026-04-20T10:03:10,0.1553
2026-04-20T10:03:20,0.1161
2026-04-20T10:03:30,0.2729
2026-04-20T10:03:40,0.4433
2026-04-20T10:03:50,0.7267
2026-04-20T10:04:00,1.3466
2026-04-20T10:04:10,2.4225
2026-04-20T10:04:20,0.76
2026-04-20T10:04:30,2.9144
2026-04-20T10:04:40,2.8793
2026-04-20T10:04:50,3.1512
2026-04-20T10:05:00,2.843
2026-04-20T10:05:10,3.3922
2026-04-20T10:05:20,2.4636
2026-04-20T10:05:30,4.0571
2026-04-20T10:05:40,4.8034
2026-04-20T10:05:50,6.8456
2026-04-20T10:06:00,4.4134
2026-04-20T10:06:10,3.7575
2026-04-20T10:06:20,4.5275
2026-04-20T10:06:30,5.8215
2026-04-20T10:06:40,8.4796
2026-04-20T10:06:50,12.6051
2026-04-20T10:07:00,8.8114
2026-04-20T10:07:10,10.112
2026-04-20T10:07:20,8.2269
2026-04-20T10:07:30,7.9595
2026-04-20T10:07:40,8.5171
2026-04-20T10:07:50,4.0356
2026-04-20T10:08:00,7.9048
2026-04-20T10:08:10,7.6887
2026-04-20T10:08:20,4.5442
2026-04-20T10:08:30,12.0059
2026-04-20T10:08:40,8.881
2026-04-20T10:08:50,11.843
2026-04-20T10:09:00,15.4124
2026-04-20T10:09:10,13.5103
2026-04-20T10:09:20,13.6375
2026-04-20T10:09:30,5.7513
2026-04-20T10:09:40,12.8645
2026-04-20T10:09:50,16.4812
