time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0241
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0238
2026-04-20T10:00:50,0.277
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0189
2026-04-20T10:01:20,0.0759
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0419
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.1031
2026-04-20T10:02:30,0.1142
2026-04-20T10:02:40,0.1137
2026-04-20T10:02:50,0.1358
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0908
2026-04-20T10:03:20,0.1922
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0168
2026-04-20T10:03:50,0.1387
2026-04-20T10:04:00,0.0177
2026-04-20T10:04:10,0.0
2026-04-20T10:04:20,6.807
2026-04-20T10:04:30,11.3926
2026-04-20T10:04:40,7.5384
2026-04-20T10:04:50,8.3921
2026-04-20T10:05:00,8.0648
2026-04-20T10:05:10,15.5515
2026-04-20T10:05:20,11.3755
2026-04-20T10:05:30,7.9378
2026-04-20T10:05:40,9.7593
2026-04-20T10:05:50,13.2804
2026-04-20T10:06:00,9.3163
2026-04-20T10:06:10,21.9347
2026-04-20T10:06:20,22.4851
2026-04-20T10:06:30,13.9964
2026-04-20T10:06:40,22.8121
2026-04-20T10:06:50,21.6498
2026-04-20T10:07:00,21.8258
2026-04-20T10:07:10,16.3122
2026-04-20T10:07:20,25.6452
2026-04-20T10:07:30,19.6412
2026-04-20T10:07:40,30.2916
2026-04-20T10:07:50,25.5141
2026-04-20T10:08:00,23.3499
2026-04-20T10:08:10,12.2532
2026-04-20T10:08:20,34.9276
2026-04-20T10:08:30,21.7095
2026-04-20T10:08:40,30.6331
2026-04-20T10:08:50,25.4192
2026-04-20T10:09:00,34.7653
2026-04-20T10:09:10,20.6702
2026-04-20T10:09:20,17.7413
2026-04-20T10:09:30,8.9783
2026-04-20T10:09:40,22.5341
2026-04-20T10:09:50,42.4837
