time,value
2026-04-20T10:00:00,0.1238
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0313
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.1391
2026-04-20T10:01:00,0.0976
2026-04-20T10:01:10,0.093
2026-04-20T10:01:20,0.0319
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.1981
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.1482
2026-04-20T10:02:40,0.0663
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0174
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,2.5685
2026-04-20T10:04:10,1.7765
2026-04-20T10:04:20,4.1799
2026-04-20T10:04:30,2.6209
2026-04-20T10:04:40,5.435
2026-04-20T10:04:50,3.7533
2026-04-20T10:05:00,3.2777
2026-04-20T10:05:10,3.4766
2026-04-20T10:05:20,4.9106
2026-04-20T10:05:30,5.9499
2026-04-20T10:05:40,6.3492
2026-04-20T10:05:50,6.7028
2026-04-20T10:06:00,5.817
2026-04-20T10:06:10,9.2367
2026-04-20T10:06:20,12.3722
2026-04-20T10:06:30,11.6864
2026-04-20T10:06:40,8.7847
2026-04-20T10:06:50,11.3469
2026-04-20T10:07:00,11.5946
2026-04-20T10:07:10,15.3706
2026-04-20T10:07:20,15.1614
2026-04-20T10:07:30,12.9431
2026-04-20T10:07:40,12.2641
2026-04-20T10:07:50,14.0443
2026-04-20T10:08:00,11.6195
2026-04-20T10:08:10,13.7742
2026-04-20T10:08:20,8.6213
2026-04-20T10:08:30,18.0067
2026-04-20T10:08:40,11.0869
2026-04-20T10:08:50,19.0699
2026-04-20T10:09:00,16.4508
2026-04-20T10:09:10,8.1452
2026-04-20T10:09:20,13.5547
2026-04-20T10:09:30,15.7264
2026-04-20T10:09:40,10.2938
2026-04-20T10:09:50,15.6317
