time,value
2026-04-20T10:00:00,2.0699
2026-04-20T10:00:10,1.5581
2026-04-20T10:00:20,1.3792
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,1.675
2026-04-20T10:00:50,0.971
2026-04-20T10:01:00,1.1301
2026-04-20T10:01:10,1.3035
2026-04-20T10:01:20,1.087
2026-04-20T10:01:30,0.6348
2026-04-20T10:01:40,0.5717
2026-04-20T10:01:50,0.574
2026-04-20T10:02:00,1.2565
2026-04-20T10:02:10,1.0349
2026-04-20T10:02:20,0.7898
2026-04-20T10:02:30,0.681
2026-04-20T10:02:40,1.4493
2026-04-20T10:02:50,0.5149
2026-04-20T10:03:00,1.1985
2026-04-20T10:03:10,0.7851
2026-04-20T10:03:20,2.1631
2026-04-20T10:03:30,0.8586
2026-04-20T10:03:40,0.8182
2026-04-20T10:03:50,1.1205
2026-04-20T10:04:00,0.8679
2026-04-20T10:04:10,0.7088
2026-04-20T10:04:20,34.8342
2026-04-20T10:04:30,33.1752
2026-04-20T10:04:40,26.9486
2026-04-20T10:04:50,36.7358
2026-04-20T10:05:00,54.9575
2026-04-20T10:05:10,66.8278
2026-04-20T10:05:20,85.0033
2026-04-20T10:05:30,85.5275
2026-04-20T10:05:40,83.3675
2026-04-20T10:05:50,82.2054
2026-04-20T10:06:00,80.85
2026-04-20T10:06:10,65.3451
2026-04-20T10:06:20,85.989
2026-04-20T10:06:30,120.6919
2026-04-20T10:06:40,154.6896
2026-04-20T10:06:50,119.2273
2026-04-20T10:07:00,64.3126
2026-04-20T10:07:10,81.7542
2026-04-20T10:07:20,142.6497
2026-04-20T10:07:30,77.9285
2026-04-20T10:07:40,131.7532
2026-04-20T10:07:50,111.3897
2026-04-20T10:08:00,128.1535
2026-04-20T10:08:10,203.9055
2026-04-20T10:08:20,170.1577
2026-04-20T10:08:30,90.9796
2026-04-20T10:08:40,127.2556
2026-04-20T10:08:50,128.2398
2026-04-20T10:09:00,233.701
2026-04-20T10:09:10,186.4482
2026-04-20T10:09:20,130.3389
2026-04-20T10:09:30,109.8888
2026-04-20T10:09:40,130.8333
2026-04-20T10:09:50,220.1234
