time,value
2026-04-20T10:00:00,14.1784
2026-04-20T10:00:10,8.5059
2026-04-20T10:00:20,10.0059
2026-04-20T10:00:30,8.2618
2026-04-20T10:00:40,6.3842
2026-04-20T10:00:50,8.5788
2026-04-20T10:01:00,11.2013
2026-04-20T10:01:10,15.5212
2026-04-20T10:01:20,11.0534
2026-04-20T10:01:30,15.9239
2026-04-20T10:01:40,10.4487
2026-04-20T10:01:50,9.8478
2026-04-20T10:02:00,7.7287
2026-04-20T10:02:10,10.1359
2026-04-20T10:02:20,12.1736
2026-04-20T10:02:30,9.786
2026-04-20T10:02:40,10.382
2026-04-20T10:02:50,11.0237
2026-04-20T10:03:00,8.4577
2026-04-20T10:03:10,13.0682
2026-04-20T10:03:20,14.7501
2026-04-20T10:03:30,12.2049
2026-04-20T10:03:40,10.4002
2026-04-20T10:03:50,5.2377
2026-04-20T10:04:00,72.7386
2026-04-20T10:04:10,93.2413
2026-04-20T10:04:20,103.0519
2026-04-20T10:04:30,135.8296
2026-04-20T10:04:40,144.7893
2026-04-20T10:04:50,86.9932
2026-04-20T10:05:00,118.3156
2026-04-20T10:05:10,156.4768
2026-04-20T10:05:20,130.7577
2026-04-20T10:05:30,122.3341
2026-04-20T10:05:40,223.3813
2026-04-20T10:05:50,188.4138
2026-04-20T10:06:00,222.4838
2026-04-20T10:06:10,292.355
2026-04-20T10:06:20,247.9655
2026-04-20T10:06:30,206.4365
2026-04-20T10:06:40,306.8818
2026-04-20T10:06:50,262.6157
2026-04-20T10:07:00,267.5188
2026-04-20T10:07:10,432.3601
2026-04-20T10:07:20,348.8151
2026-04-20T10:07:30,266.3203
2026-04-20T10:07:40,257.6722
2026-04-20T10:07:50,285.5235
2026-04-20T10:08:00,262.4691
2026-04-20T10:08:10,250.8476
2026-04-20T10:08:20,428.7136
2026-04-20T10:08:30,322.3859
2026-04-20T10:08:40,282.0857
2026-04-20T10:08:50,405.8135
2026-04-20T10:09:00,293.9101
2026-04-20T10:09:10,475.29
2026-04-20T10:09:20,302.0951
2026-04-20T10:09:30,451.1629
2026-04-20T10:09:40,369.9569
2026-04-20T10:09:50,402.2509
