time,value
2026-04-20T10:00:00,0.2248
2026-04-20T10:00:10,1.3628
2026-04-20T10:00:20,0.4372
2026-04-20T10:00:30,0.8808
2026-04-20T10:00:40,1.2035
2026-04-20T10:00:50,0.8886
2026-04-20T10:01:00,1.5458
2026-04-20T10:01:10,0.4698
2026-04-20T10:01:20,0.5735
2026-04-20T10:01:30,1.5888
2026-04-20T10:01:40,1.202
2026-04-20T10:01:50,0.9653
2026-04-20T10:02:00,2.0005
2026-04-20T10:02:10,0.5374
2026-04-20T10:02:20,0.8138
2026-04-20T10:02:30,1.8191
2026-04-20T10:02:40,0.2685
2026-04-20T10:02:50,1.3231
2026-04-20T10:03:00,1.9656
2026-04-20T10:03:10,0.5222
2026-04-20T10:03:20,1.3921
2026-04-20T10:03:30,0.8173
2026-04-20T10:03:40,7.7286
2026-04-20T10:03:50,4.6902
2026-04-20T10:04:00,14.8264
2026-04-20T10:04:10,6.7643
2026-04-20T10:04:20,9.0604
2026-04-20T10:04:30,33.7419
2026-04-20T10:04:40,23.1268
2026-04-20T10:04:50,27.2156
2026-04-20T10:05:00,46.8103
2026-04-20T10:05:10,19.3585
2026-04-20T10:05:20,34.9743
2026-04-20T10:05:30,55.7952
2026-04-20T10:05:40,58.6102
2026-04-20T10:05:50,42.4507
2026-04-20T10:06:00,31.6337
2026-04-20T10:06:10,40.1605
2026-04-20T10:06:20,55.156
2026-04-20T10:06:30,74.8736
2026-04-20T10:06:40,101.4825
2026-04-20T10:06:50,69.9112
2026-04-20T10:07:00,73.5513
2026-04-20T10:07:10,136.4719
2026-04-20T10:07:20,90.7718
2026-04-20T10:07:30,57.7421
2026-04-20T10:07:40,104.0847
2026-04-20T10:07:50,100.2446
2026-04-20T10:08:00,63.1383
2026-04-20T10:08:10,93.2356
2026-04-20T10:08:20,54.8749
2026-04-20T10:08:30,123.924
2026-04-20T10:08:40,119.2408
2026-04-20T10:08:50,73.7424
2026-04-20T10:09:00,112.9561
2026-04-20T10:09:10,66.1576
2026-04-20T10:09:20,177.3942
2026-04-20T10:09:30,31.7712
2026-04-20T10:09:40,95.0622
2026-04-20T10:09:50,103.4325
