time,value
2026-04-20T10:00:00,0.5044
2026-04-20T10:00:10,0.3033
2026-04-20T10:00:20,0.4173
2026-04-20T10:00:30,0.2984
2026-04-20T10:00:40,0.7022
2026-04-20T10:00:50,0.2785
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.5175
2026-04-20T10:01:20,1.0076
2026-04-20T10:01:30,0.6409
2026-04-20T10:01:40,0.7096
2026-04-20T10:01:50,0.4702
2026-04-20T10:02:00,0.3561
2026-04-20T10:02:10,0.6884
2026-04-20T10:02:20,0.5252
2026-04-20T10:02:30,0.843
2026-04-20T10:02:40,0.5949
2026-04-20T10:02:50,0.6465
2026-04-20T10:03:00,0.8271
2026-04-20T10:03:10,0.5016
2026-04-20T10:03:20,0.2721
2026-04-20T10:03:30,0.5786
2026-04-20T10:03:40,0.4255
2026-04-20T10:03:50,1.0018
2026-04-20T10:04:00,0.9646
2026-04-20T10:04:10,0.5913
2026-04-20T10:04:20,2.2278
2026-04-20T10:04:30,3.032
2026-04-20T10:04:40,3.897
2026-04-20T10:04:50,4.8452
2026-04-20T10:05:00,1.2144
2026-04-20T10:05:10,4.7351
2026-04-20T10:05:20,4.8653
2026-04-20T10:05:30,6.9673
2026-04-20T10:05:40,4.7989
2026-04-20T10:05:50,4.5691
2026-04-20T10:06:00,5.3401
2026-04-20T10:06:10,7.5517
2026-04-20T10:06:20,3.7557
2026-04-20T10:06:30,8.3024
2026-04-20T10:06:40,8.7651
2026-04-20T10:06:50,8.1382
2026-04-20T10:07:00,8.2525
2026-04-20T10:07:10,4.7515
2026-04-20T10:07:20,6.3738
2026-04-20T10:07:30,3.5532
2026-04-20T10:07:40,7.8207
2026-04-20T10:07:50,7.3501
2026-04-20T10:08:00,7.6276
2026-04-20T10:08:10,7.0614
2026-04-20T10:08:20,8.3968
2026-04-20T10:08:30,6.3054
2026-04-20T10:08:40,6.8862
2026-04-20T10:08:50,4.4047
2026-04-20T10:09:00,7.1539
2026-04-20T10:09:10,5.5261
2026-04-20T10:09:20,4.6378
2026-04-20T10:09:30,14.4748
2026-04-20T10:09:40,3.5227
2026-04-20T10:09:50,14.4813
