time,value
2026-04-20T10:00:00,0.0017
2026-04-20T10:00:10,0.0128
2026-04-20T10:00:20,0.0501
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0002
2026-04-20T10:00:50,0.146
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.1737
2026-04-20T10:01:20,0.0612
2026-04-20T10:01:30,0.0874
2026-04-20T10:01:40,0.0079
2026-04-20T10:01:50,0.0856
2026-04-20T10:02:00,0.0911
2026-04-20T10:02:10,0.1101
2026-04-20T10:02:20,0.0636
2026-04-20T10:02:30,0.1068
2026-04-20T10:02:40,0.0252
2026-04-20T10:02:50,0.1439
2026-04-20T10:03:00,0.2309
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0715
2026-04-20T10:03:30,0.1147
2026-04-20T10:03:40,0.2789
2026-04-20T10:03:50,0.6129
2026-04-20T10:04:00,1.0747
2026-04-20T10:04:10,0.9123
2026-04-20T10:04:20,1.072
2026-04-20T10:04:30,0.9439
2026-04-20T10:04:40,2.4043
2026-04-20T10:04:50,2.3867
2026-04-20T10:05:00,2.8882
2026-04-20T10:05:10,1.3033
2026-04-20T10:05:20,1.7755
2026-04-20T10:05:30,2.2905
2026-04-20T10:05:40,2.345
2026-04-20T10:05:50,3.8169
2026-04-20T10:06:00,3.6171
2026-04-20T10:06:10,3.2954
2026-04-20T10:06:20,3.266
2026-04-20T10:06:30,5.6613
2026-04-20T10:06:40,2.7843
2026-04-20T10:06:50,3.9228
2026-04-20T10:07:00,4.7138
2026-04-20T10:07:10,3.728
2026-04-20T10:07:20,3.0567
2026-04-20T10:07:30,5.8564
2026-04-20T10:07:40,5.1629
2026-04-20T10:07:50,5.2266
2026-04-20T10:08:00,4.8198
2026-04-20T10:08:10,3.9174
2026-04-20T10:08:20,5.3005
2026-04-20T10:08:30,3.6691
2026-04-20T10:08:40,6.1328
2026-04-20T10:08:50,4.7916
2026-04-20T10:09:00,5.1316
2026-04-20T10:09:10,5.4563
2026-04-20T10:09:20,6.0583
2026-04-20T10:09:30,7.8351
2026-04-20T10:09:40,7.5801
2026-04-20T10:09:50,7.0531
