time,value
2026-04-20T10:00:00,0.0521
2026-04-20T10:00:10,0.1023
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0147
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.2079
2026-04-20T10:01:20,0.0085
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0891
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0047
2026-04-20T10:02:20,0.0063
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0589
2026-04-20T10:02:50,0.0405
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0206
2026-04-20T10:03:20,0.168
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.4467
2026-04-20T10:03:50,0.4813
2026-04-20T10:04:00,0.6267
2026-04-20T10:04:10,0.8477
2026-04-20T10:04:20,0.6227
2026-04-20T10:04:30,0.5352
2026-04-20T10:04:40,1.075
2026-04-20T10:04:50,1.3684
2026-04-20T10:05:00,1.2619
2026-04-20T10:05:10,2.2058
2026-04-20T10:05:20,2.1295
2026-04-20T10:05:30,1.2441
2026-04-20T10:05:40,1.8463
2026-04-20T10:05:50,2.3871
2026-04-20T10:06:00,1.1605
2026-04-20T10:06:10,2.1928
2026-04-20T10:06:20,2.3742
2026-04-20T10:06:30,2.0428
2026-04-20T10:06:40,0.9931
2026-04-20T10:06:50,2.7308
2026-04-20T10:07:00,2.2366
2026-04-20T10:07:10,2.8327
2026-04-20T10:07:20,2.8265
2026-04-20T10:07:30,3.6107
2026-04-20T10:07:40,2.9905
2026-04-20T10:07:50,2.4423
2026-04-20T10:08:00,4.4417
2026-04-20T10:08:10,2.7849
2026-04-20T10:08:20,3.9535
2026-04-20T10:08:30,2.5389
2026-04-20T10:08:40,4.2642
2026-04-20T10:08:50,3.4859
2026-04-20T10:09:00,4.1479
2026-04-20T10:09:10,3.8122
2026-04-20T10:09:20,2.6636
2026-04-20T10:09:30,6.8207
2026-04-20T10:09:40,3.5125
2026-04-20T10:09:50,2.7768
