time,value
2026-04-20T10:00:00,1.1647
2026-04-20T10:00:10,1.2468
2026-04-20T10:00:20,1.1351
2026-04-20T10:00:30,0.767
2026-04-20T10:00:40,0.9187
2026-04-20T10:00:50,0.5226
2026-04-20T10:01:00,0.901
2026-04-20T10:01:10,0.707
2026-04-20T10:01:20,1.831
2026-04-20T10:01:30,1.0991
2026-04-20T10:01:40,0.3277
2026-04-20T10:01:50,1.2384
2026-04-20T10:02:00,1.3851
2026-04-20T10:02:10,0.5113
2026-04-20T10:02:20,1.5461
2026-04-20T10:02:30,1.5438
2026-04-20T10:02:40,1.1249
2026-04-20T10:02:50,0.3918
2026-04-20T10:03:00,1.8643
2026-04-20T10:03:10,1.0694
2026-04-20T10:03:20,1.6588
2026-04-20T10:03:30,1.2633
2026-04-20T10:03:40,0.8949
2026-04-20T10:03:50,2.3641
2026-04-20T10:04:00,3.9511
2026-04-20T10:04:10,9.9091
2026-04-20T10:04:20,15.6247
2026-04-20T10:04:30,17.355
2026-04-20T10:04:40,22.2961
2026-04-20T10:04:50,20.7006
2026-04-20T10:05:00,21.1095
2026-04-20T10:05:10,15.0647
2026-04-20T10:05:20,25.8195
2026-04-20T10:05:30,32.3191
2026-04-20T10:05:40,22.5273
2026-04-20T10:05:50,35.5758
2026-04-20T10:06:00,42.5127
2026-04-20T10:06:10,35.128
2026-04-20T10:06:20,46.0879
2026-04-20T10:06:30,27.9934
2026-04-20T10:06:40,29.1462
2026-04-20T10:06:50,42.0834
2026-04-20T10:07:00,35.7292
2026-04-20T10:07:10,41.0784
2026-04-20T10:07:20,43.5582
2026-04-20T10:07:30,35.784
2026-04-20T10:07:40,29.5405
2026-04-20T10:07:50,46.6275
2026-04-20T10:08:00,30.4031
2026-04-20T10:08:10,72.1646
2026-04-20T10:08:20,63.6534
2026-04-20T10:08:30,87.8151
2026-04-20T10:08:40,62.096
2026-04-20T10:08:50,50.9169
2026-04-20T10:09:00,58.0149
2026-04-20T10:09:10,40.3141
2026-04-20T10:09:20,42.9272
2026-04-20T10:09:30,47.6399
2026-04-20T10:09:40,63.1022
2026-04-20T10:09:50,56.761
