time,value
2026-04-20T10:00:00,4.4271
2026-04-20T10:00:10,3.539
2026-04-20T10:00:20,2.2734
2026-04-20T10:00:30,3.0798
2026-04-20T10:00:40,4.4193
2026-04-20T10:00:50,4.1361
2026-04-20T10:01:00,2.9772
2026-04-20T10:01:10,1.7274
2026-04-20T10:01:20,2.0173
2026-04-20T10:01:30,3.5206
2026-04-20T10:01:40,2.7694
2026-04-20T10:01:50,4.4944
2026-04-20T10:02:00,2.7261
2026-04-20T10:02:10,3.7791
2026-04-20T10:02:20,2.9578
2026-04-20T10:02:30,2.7233
2026-04-20T10:02:40,4.4657
2026-04-20T10:02:50,2.8014
2026-04-20T10:03:00,3.1714
2026-04-20T10:03:10,3.8275
2026-04-20T10:03:20,2.4101
2026-04-20T10:03:30,2.8725
2026-04-20T10:03:40,3.0957
2026-04-20T10:03:50,9.5901
2026-04-20T10:04:00,7.3314
2026-04-20T10:04:10,5.0521
2026-04-20T10:04:20,8.8626
2026-04-20T10:04:30,13.1276
2026-04-20T10:04:40,12.9009
2026-04-20T10:04:50,17.1454
2026-04-20T10:05:00,16.373
2026-04-20T10:05:10,19.0228
2026-04-20T10:05:20,13.221
2026-04-20T10:05:30,18.4441
2026-04-20T10:05:40,14.62
2026-04-20T10:05:50,19.5758
2026-04-20T10:06:00,11.0555
2026-04-20T10:06:10,15.0827
2026-04-20T10:06:20,21.9105
2026-04-20T10:06:30,27.9901
2026-04-20T10:06:40,22.3386
2026-04-20T10:06:50,24.3774
2026-04-20T10:07:00,11.6518
2026-04-20T10:07:10,40.742
2026-04-20T10:07:20,31.681
2026-04-20T10:07:30,22.5625
2026-04-20T10:07:40,29.9239
2026-04-20T10:07:50,29.6051
2026-04-20T10:08:00,29.1173
2026-04-20T10:08:10,36.9986
2026-04-20T10:08:20,30.1471
2026-04-20T10:08:30,27.5745
2026-04-20T10:08:40,29.1032
2026-04-20T10:08:50,22.728
2026-04-20T10:09:00,22.5649
2026-04-20T10:09:10,40.9503
2026-04-20T10:09:20,40.8985
2026-04-20T10:09:30,36.6423
2026-04-20T10:09:40,40.8754
2026-04-20T10:09:50,41.736
