time,value
2026-04-20T10:00:00,1.6482
2026-04-20T10:00:10,6.6175
2026-04-20T10:00:20,7.1357
2026-04-20T10:00:30,4.3266
2026-04-20T10:00:40,5.8456
2026-04-20T10:00:50,5.3676
2026-04-20T10:01:00,5.224
2026-04-20T10:01:10,6.6961
2026-04-20T10:01:20,5.7283
2026-04-20T10:01:30,6.8566
2026-04-20T10:01:40,3.1357
2026-04-20T10:01:50,5.3831
2026-04-20T10:02:00,7.5881
2026-04-20T10:02:10,4.5391
2026-04-20T10:02:20,2.1495
2026-04-20T10:02:30,2.0271
2026-04-20T10:02:40,2.7276
2026-04-20T10:02:50,6.7106
2026-04-20T10:03:00,7.0878
2026-04-20T10:03:10,4.4268
2026-04-20T10:03:20,1.6812
2026-04-20T10:03:30,8.8814
2026-04-20T10:03:40,10.8849
2026-04-20T10:03:50,13.276
2026-04-20T10:04:00,0.3855
2026-04-20T10:04:10,13.7001
2026-04-20T10:04:20,19.8617
2026-04-20T10:04:30,17.6878
2026-04-20T10:04:40,21.6086
2026-04-20T10:04:50,29.7973
2026-04-20T10:05:00,43.2612
2026-04-20T10:05:10,31.0405
2026-04-20T10:05:20,34.2337
2026-04-20T10:05:30,38.8364
2026-04-20T10:05:40,51.3824
2026-04-20T10:05:50,36.8108
2026-04-20T10:06:00,36.7683
2026-04-20T10:06:10,52.2278
2026-04-20T10:06:20,69.0904
2026-04-20T10:06:30,63.5983
2026-04-20T10:06:40,40.3411
2026-04-20T10:06:50,39.5455
2026-04-20T10:07:00,57.2629
2026-04-20T10:07:10,72.4069
2026-04-20T10:07:20,73.098
2026-04-20T10:07:30,97.9007
2026-04-20T10:07:40,78.5379
2026-04-20T10:07:50,39.4377
2026-04-20T10:08:00,82.2281
2026-04-20T10:08:10,97.9475
2026-04-20T10:08:20,100.2639
2026-04-20T10:08:30,83.5819
2026-04-20T10:08:40,42.3127
2026-04-20T10:08:50,88.8594
2026-04-20T10:09:00,97.1171
2026-04-20T10:09:10,101.8048
2026-04-20T10:09:20,78.1231
2026-04-20T10:09:30,110.7723
2026-04-20T10:09:40,97.8059
2026-04-20T10:09:50,101.4468
