time,value
2026-04-20T10:00:00,0.0326
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0812
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.1926
2026-04-20T10:00:50,0.0768
2026-04-20T10:01:00,0.0562
2026-04-20T10:01:10,0.1204
2026-04-20T10:01:20,0.0074
2026-04-20T10:01:30,0.1854
2026-04-20T10:01:40,0.1852
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0104
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.1544
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0896
2026-04-20T10:03:50,0.0805
2026-04-20T10:04:00,0.0
2026-04-20T10:04:10,0.0
2026-04-20T10:04:20,10.0982
2026-04-20T10:04:30,18.5871
2026-04-20T10:04:40,26.5176
2026-04-20T10:04:50,16.1963
2026-04-20T10:05:00,13.3953
2026-04-20T10:05:10,11.9172
2026-04-20T10:05:20,35.4518
2026-04-20T10:05:30,18.9137
2026-04-20T10:05:40,23.9556
2026-04-20T10:05:50,40.9591
2026-04-20T10:06:00,34.1964
2026-04-20T10:06:10,23.4302
2026-04-20T10:06:20,44.0
2026-04-20T10:06:30,76.0981
2026-04-20T10:06:40,41.8374
2026-04-20T10:06:50,65.1827
2026-04-20T10:07:00,35.5495
2026-04-20T10:07:10,40.8648
2026-04-20T10:07:20,68.4503
2026-04-20T10:07:30,38.8205
2026-04-20T10:07:40,47.6117
2026-04-20T10:07:50,39.4974
2026-04-20T10:08:00,76.5197
2026-04-20T10:08:10,49.9991
2026-04-20T10:08:20,37.944
2026-04-20T10:08:30,30.2603
2026-04-20T10:08:40,48.3583
2026-04-20T10:08:50,31.3267
2026-04-20T10:09:00,44.3605
2026-04-20T10:09:10,88.7726
2026-04-20T10:09:20,39.8857
2026-04-20T10:09:30,81.4839
2026-04-20T10:09:40,51.3343
2026-04-20T10:09:50,92.0596
