time,value
2026-04-20T10:00:00,5244.9707
2026-04-20T10:00:10,4886.6729
2026-04-20T10:00:20,6487.9638
2026-04-20T10:00:30,6412.8644
2026-04-20T10:00:40,5887.8942
2026-04-20T10:00:50,5806.5883
2026-04-20T10:01:00,6176.1488
2026-04-20T10:01:10,4431.5055
2026-04-20T10:01:20,5829.3135
2026-04-20T10:01:30,5036.9439
2026-04-20T10:01:40,4295.3391
2026-04-20T10:01:50,5100.782
2026-04-20T10:02:00,4158.1089
2026-04-20T10:02:10,6383.998
2026-04-20T10:02:20,6317.197
2026-04-20T10:02:30,4966.4713
2026-04-20T10:02:40,5331.7899
2026-04-20T10:02:50,5142.6952
2026-04-20T10:03:00,5827.6634
2026-04-20T10:03:10,6020.0546
2026-04-20T10:03:20,4751.4954
2026-04-20T10:03:30,14716.3821
2026-04-20T10:03:40,22455.0948
2026-04-20T10:03:50,29698.8985
2026-04-20T10:04:00,59614.2358
2026-04-20T10:04:10,64207.5308
2026-04-20T10:04:20,56975.9607
2026-04-20T10:04:30,78364.6113
2026-04-20T10:04:40,91007.2335
2026-04-20T10:04:50,80026.986
2026-04-20T10:05:00,111609.1523
2026-04-20T10:05:10,127527.4678
2026-04-20T10:05:20,140890.0185
2026-04-20T10:05:30,147125.9446
2026-04-20T10:05:40,129254.0281
2026-04-20T10:05:50,152827.0984
2026-04-20T10:06:00,158066.694
2026-04-20T10:06:10,112965.3553
2026-04-20T10:06:20,150895.3668
2026-04-20T10:06:30,168026.0675
2026-04-20T10:06:40,115832.3764
2026-04-20T10:06:50,187880.9753
2026-04-20T10:07:00,204540.8096
2026-04-20T10:07:10,252113.5169
2026-04-20T10:07:20,197088.6962
2026-04-20T10:07:30,202146.3388
2026-04-20T10:07:40,265040.5504
2026-04-20T10:07:50,229768.6449
2026-04-20T10:08:00,282835.0864
2026-04-20T10:08:10,297245.4791
2026-04-20T10:08:20,288085.6847
2026-04-20T10:08:30,316412.0293
2026-04-20T10:08:40,332320.6904
2026-04-20T10:08:50,230122.4827
2026-04-20T10:09:00,280638.2656
2026-04-20T10:09:10,312647.5617
2026-04-20T10:09:20,142804.7696
2026-04-20T10:09:30,321340.2363
2026-04-20T10:09:40,389129.6744
2026-04-20T10:09:50,349471.1631
